year,grant,sub,num,id,subject,title,author,school,money,duration
2002,创新研究群体项目,A01,1,40221402,D04,地球磁场与地球外核动力学,朱日祥,中国科学院地质与地球物理研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,2,10221003,A0503,放射性束物理及超重研究,詹文龙,中国科学院近代物理研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,3,50221201,E02,新型光功能材料的制备、表征及性能,姚建年,中国科学院化学研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,4,20221402,B05,高分子及生命体系的复杂形态和生成动力学,杨玉良,复旦大学,780,2003-01至2008-12
2002,创新研究群体项目,A01,5,30221004,C0605,人类基因组的研究策略和应用,杨焕明,中国科学院北京基因组研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,6,20221101,B01,稀土功能材料化学,严纯华,北京大学,780,2003-01至2008-12
2002,创新研究群体项目,A01,7,50221402,E0409,矿山岩体力学基础理论研究与工程应用,谢和平,中国矿业大学（北京）,780,2003-01至2008-12
2002,创新研究群体项目,A01,8,40221503,D0506,东亚和西太平洋区域气候变异机理和预测理论,吴国雄,中国科学院大气物理研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,9,10221002,A0402,非常规电子态物质性质研究,闻海虎,中国科学院物理研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,10,30221001,H1611,肿瘤生物治疗研究,魏于全,四川大学,780,2003-01至2008-12
2002,创新研究群体项目,A01,11,50221903,E0904,流域水沙过程与临界调机理,王光谦,清华大学,780,2003-01至2008-12
2002,创新研究群体项目,A01,12,70221001,G0202,不确定性决策的理论\方法与应研究,汪寿阳,中国科学院数学与系统科学研究院,530,2003-01至2008-12
2002,创新研究群体项目,A01,13,30221003,C10,与疾病和重要生理功能相关的蛋白质的结构与功能研究,饶子和,清华大学,780,2003-01至2008-12
2002,创新研究群体项目,A01,14,30221005,C170102,畜禽基因组学与分子数量遗传学,李宁,中国农业大学,360,2003-01至2006-12
2002,创新研究群体项目,A01,15,20221603,B08,化学工程中复杂系统的结构,李静海,中国科学院过程工程研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,16,30221002,C0601,植物发育分子遗传学,李家洋,中国科学院遗传与发育生物学研究所,780,2003-01至2008-12
2002,创新研究群体项目,A01,17,40221301,D0303,华南大陆岩石圈层圈相互作用和成岩成成矿过程的地球化学,蒋少涌,南京大学,780,2003-01至2008-12
2002,创新研究群体项目,A01,18,60221301,F0301,控制科学中若干关键基础问题的研究,郭雷,中国科学院数学与系统科学研究院,780,2003-01至2008-12
2002,创新研究群体项目,A01,19,10221001,A03,天体物理中的高能过程,戴子高,南京大学,780,2003-01至2008-12
2002,创新研究群体项目,A01,20,60221502,F04,现代红外光电子物理和焦平面列阵器件研究,褚君浩,中国科学院上海技术物理研究所,780,2003-01至2008-12
