year,grant,sub,num,id,subject,title,author,school,money,dueration
2009,创新研究群体项目,A01,1,40921002,D0301,大陆俯冲化学地球动力学,郑永飞,中国科学技术大学,600,2010-01至2012-12
2009,创新研究群体项目,A01,2,50921002,E0411,煤炭资源高效洁净加工理论与应用研究,赵跃民,中国矿业大学,600,2010-01至2012-12
2009,创新研究群体项目,A01,3,10921504,A050501,重离子加速器物理和技术前沿课题研究,赵红卫,中国科学院近代物理研究所,600,2010-01至2012-12
2009,创新研究群体项目,A01,4,10921061,A0103,微分几何,张伟平,南开大学,385,2010-01至2012-12
2009,创新研究群体项目,A01,5,40921003,D0507,东亚副热带季风变异机理,张人禾,中国气象科学研究院,600,2010-01至2012-12
2009,创新研究群体项目,A01,6,30921091,C0601,基因组研究与水稻遗传改良,张启发,华中农业大学,550,2010-01至2012-12
2009,创新研究群体项目,A01,7,60921001,F010201,网络化协同空管系统的理论与方法,张军,北京航空航天大学,600,2010-01至2012-12
2009,创新研究群体项目,A01,8,20921002,B010103,新型稀土功能材料的研究与应用,张洪杰,中国科学院长春应用化学研究所,600,2010-01至2012-12
2009,创新研究群体项目,A01,9,60921062,F02,千万亿次高性能计算关键技术,杨学军,中国人民解放军国防科技大学,450,2010-01至2012-12
2009,创新研究群体项目,A01,10,30921003,C0205,植物生殖发育生物学,杨维才,中国科学院遗传与发育生物学研究所,600,2010-01至2012-12
2009,创新研究群体项目,A01,11,10921063,A03,宇宙中的恒星形成和起源,杨戟,中国科学院紫金山天文台,550,2010-01至2012-12
2009,创新研究群体项目,A01,12,20921003,B05,光电功能超分子组装体系研究,杨柏,吉林大学,600,2010-01至2012-12
2009,创新研究群体项目,A01,13,10921303,A030405,太阳爆发活动的关键科学问题研究,颜毅华,中国科学院国家天文台,600,2010-01至2012-12
2009,创新研究群体项目,A01,14,40921001,D021101,青藏高原大陆动力学及资源环境效应,许志琴,中国地质科学院地质研究所,600,2010-01至2012-12
2009,创新研究群体项目,A01,15,50921003,E010502,超常环境服役新型金属智能材料研究,徐惠彬,北京航空航天大学,600,2010-01至2012-12
2009,创新研究群体项目,A01,16,40921004,D0601,海洋动力过程的演变机理及其在气候变化中的作用,吴立新,中国海洋大学,600,2010-01至2012-12
2009,创新研究群体项目,A01,17,20921061,B0502,光电功能高分子与塑料光电子学,王利祥,中国科学院长春应用化学研究所,550,2010-01至2012-12
