year,grant,sub,num,id,subject,title,author,school,money,dueration
2012,地区科学基金项目,A01,1,81260631,H2803,"基于H/MAD模型探寻延龄草抗老年痴呆的""可识别指纹图谱-效应机制-靶点""的相关性研究",左月明,江西中医药大学,49.0,2013-01至2016-12
2012,地区科学基金项目,A01,2,81260451,H1002,胰岛素样生长因子-1促进应激小鼠T淋巴细胞分泌细胞因子的机制研究,左永昌,井冈山大学,48.0,2013-01至2017-12
2012,地区科学基金项目,A01,3,31260224,C080105,临床分离2型登革病毒及其EDI原核表达蛋白损伤血管内皮细胞凋亡机制和基因水平变化的研究,左丽,贵州医科大学,50.0,2013-01至2016-12
2012,地区科学基金项目,A01,4,71263028,G041301,陶瓷产业集群与区域经济发展实证研究——以江西景德镇为例,左和平,景德镇陶瓷大学,38.0,2013-01至2016-12
2012,地区科学基金项目,A01,5,41261096,D071302,云南道地药材三七皂苷和黄酮产量对土壤As的响应及其机理研究,祖艳群,云南农业大学,50.0,2013-01至2016-12
2012,地区科学基金项目,A01,6,41261107,D010501,新疆极度干旱地区生产要素资源承载力扩展与农业产业促进型生态工业园建设模式研究——以吐鲁番地区为研究例,祖拉提力提甫,新疆财经大学,40.0,2013-01至2016-12
2012,地区科学基金项目,A01,7,31260082,C020604,蜡梅属植物中乙酰胆碱酯酶抑制剂先导化合物的发现及构效关系研究,邹峥嵘,江西师范大学,47.0,2013-01至2016-12
2012,地区科学基金项目,A01,8,81260384,H1621,新候选癌基因PPP2R1A在上皮性卵巢癌患者中的突变及差异磷酸化蛋白质组学研究,邹阳,江西省妇幼保健院,50.0,2013-01至2016-12
2012,地区科学基金项目,A01,9,81260128,H0710,醛固酮合酶和11-β羟化酶基因单体型影响醛固酮瘤发生的分子机制研究,邹晓峰,赣南医学院,49.0,2013-01至2016-12
2012,地区科学基金项目,A01,10,61261009,F010701,GaAs纳米线阵列光阴极制备及其理论研究,邹继军,东华理工大学,45.0,2013-01至2016-12
2012,地区科学基金项目,A01,11,51269028,E0905,高寒区引水式电站冬季运行抽水融冰机理及运行参数优化研究,宗全利,石河子大学,50.0,2013-01至2016-12
2012,地区科学基金项目,A01,12,31260634,C190101,外源激素诱导大鲵雌雄配子同步发育成熟的优化模式及其分子机制研究,卓琦,吉首大学,51.0,2013-01至2016-12
2012,地区科学基金项目,A01,13,51264025,E041601,节能型Al基/TiB2/Mn、Pb、La系氧化物涂层电极制备与性能的应用基础研究,竺培显,昆明理工大学,48.0,2013-01至2016-12
2012,地区科学基金项目,A01,14,61263042,F030501,意识下面孔认知的熟悉度效应研究,诸薇娜,云南大学,45.0,2013-01至2016-12
2012,地区科学基金项目,A01,15,61262058,F020512,藏文Web信息的社会网络动态演化机理研究,珠杰,西藏大学,43.0,2013-01至2016-12
2012,地区科学基金项目,A01,16,71263021,G030801,深化集体林权制度改革政策对农户营林积极性的影响与政策完善研究——以江西为例,朱再昱,江西科技师范大学,36.0,2013-01至2016-12
2012,地区科学基金项目,A01,17,41263009,D0709,磷灰石族矿物固溶体的溶解热力学及其对有毒微量元素在固液体系中分配的影响,朱义年,桂林理工大学,48.0,2013-01至2016-12
2012,地区科学基金项目,A01,18,31260060,C020407,荒漠植物银沙槐内生菌共生抗逆生理响应研究,朱艳蕾,新疆师范大学,48.0,2013-01至2016-12
2012,地区科学基金项目,A01,19,61263007,F030112,杏鲍菇出菇生育期的二氧化碳循环控制模型研究,朱学军,宁夏大学,44.0,2013-01至2016-12
2012,地区科学基金项目,A01,20,31260408,C200601,水杨酸增强杏果实采后低温耐受性机理的研究,朱璇,新疆农业大学,50.0,2013-01至2016-12
2012,地区科学基金项目,A01,21,81260082,H0317,熊果酸抗大鼠肝纤维化的作用靶点及安全性研究：对HSC、肝细胞及枯否细胞的NOX的影响及生物学效应。,朱萱,南昌大学,50.0,2013-01至2016-12
2012,地区科学基金项目,A01,22,61263035,F030403,稀疏学习模型的核心理论和技术研究,朱晓峰,广西师范大学,44.0,2013-01至2016-12
2012,地区科学基金项目,A01,23,81260648,H2807,基于DNA甲基化的寒、热药性辨析研究,朱卫丰,江西中医药大学,49.0,2013-01至2016-12
2012,地区科学基金项目,A01,24,31260097,C030302,横断山区大绒鼠能量代谢调节及其生存适应模式的研究,朱万龙,云南师范大学,48.0,2013-01至2016-12
2012,地区科学基金项目,A01,25,71263025,G030802,粮食主产区农业社会化服务体系的创新与政策扶持机制研究--以江西省为例,朱述斌,江西农业大学,36.0,2013-01至2016-12
2012,地区科学基金项目,A01,26,31260447,C140601,玉米根分泌物BXs在间作控制辣椒疫病中的效应及其调控机制,朱书生,云南农业大学,53.0,2013-01至2016-12
