year,grant,sub,num,id,subject,title,author,school,money,dueration
2009,国家基础科学人才培养基金,A01,1,J0930002,J0109,吉林大学现代考古学特殊学科点,朱泓,吉林大学,210,2010-01至2012-12
2009,国家基础科学人才培养基金,A01,2,J0930007,J0109,古脊椎动物与古人类学特殊学科点,张翼,中国科学院古脊椎动物与古人类研究所,210,2010-01至2012-12
2009,国家基础科学人才培养基金,A01,3,J0930003,J0109,中国科学院寒区旱区环境与工程研究所冰川学冻土学特殊学科点,张耀南,中国科学院寒区旱区环境与工程研究所,210,2009-03至2012-12
2009,国家基础科学人才培养基金,A01,4,J0930004,J0109,中国科学院动物研究所动物分类学特殊学科点,张润志,中国科学院动物研究所,210,2010-01至2012-12
2009,国家基础科学人才培养基金,A01,5,J0910008,J0106,发育生物学实验技术骨干教师培训班,许崇任,北京大学,10,2009-07至2009-07
2009,国家基础科学人才培养基金,A01,6,J0910007,J0104,西北大学化学基地,王尧宇,西北大学,20,2009-07至2009-07
2009,国家基础科学人才培养基金,A01,7,J0910003,J0101,西部高校数学教师培训,彭联刚,四川大学,20,2009-05至2009-11
2009,国家基础科学人才培养基金,A01,8,J0910005,J0108,“药剂学”师资培训项目,潘卫三,沈阳药科大学,10,2010-01至2011-12
2009,国家基础科学人才培养基金,A01,9,J0910001,J0108,细胞生物学教学改革与创新实验教学培训项目,欧阳宏伟,浙江大学,10,2009-10至2009-11
2009,国家基础科学人才培养基金,A01,10,J0910002,J0106,东北林业大学生物学基地,李玉花,东北林业大学,10,2009-04至2009-12
2009,国家基础科学人才培养基金,A01,11,J0930006,J0109,中国科学院南京地质古生物研究所古生物学与地层学特殊学科点,李一军,中国科学院南京地质古生物研究所,210,2010-01至2012-12
2009,国家基础科学人才培养基金,A01,12,J0910010,J0105,巢湖地质学基地野外实践教学培训项目,胡文瑄,南京大学,10,2010-01至2010-12
2009,国家基础科学人才培养基金,A01,13,J0910004,J0106,生物学野外实习研讨暨骨干教师培训,陈小麟,厦门大学,10,2009-04至2009-12
2009,国家基础科学人才培养基金,A01,14,J0930005,J0109,南开大学昆虫分类学特殊学科点,卜文俊,南开大学,210,2010-01至2012-12
2009,国家基础科学人才培养基金,A01,15,J0910006,J0103,热物理系列课程教师培训班,班士良,内蒙古大学,10,2009-05至2009-10
