year,grant,sub,num,id,subject,title,author,school,money,duration
2011,国家基础科学人才培养基金,A01,1,J1103705,J0104,厦门大学化学基地,朱亚先,厦门大学,40,2011-06至2011-12
2011,国家基础科学人才培养基金,A01,2,J1103310,J0104,南京大学化学人才培养,朱成建,南京大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,3,J1103509,J0106,东北师范大学生物学基地,周义发,东北师范大学,200,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,4,J1103514,J0106,华中科技大学生物科学基地,周艳红,华中科技大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,5,J1103113,J0101,清华大学数学基地,周坚,清华大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,6,J1103412,J0105,华东师范大学地理学理科基地,郑祥民,华东师范大学,200,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,7,J1103518,J0106,四川大学国家生物学人才培养基地,赵云,四川大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,8,J1103516,J0106,北京林业大学生物学基地,张志翔,北京林业大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,9,J1103506,J0106,清华大学生物学基地,张荣庆,清华大学,200,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,10,J1103415,J0105,创新型地质学人才科研能力的培养与野外实习基地建设,张立飞,北京大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,11,J1103708,J0106,哈尔滨医科大学国家理科基地—师资培训项目,张凤民,哈尔滨医科大学,20,2012-01至2012-12
2011,国家基础科学人才培养基金,A01,12,J1103609,J0108,哈尔滨医科大学国家理科基地—创新研究型实践教学,张凤民,哈尔滨医科大学,160,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,13,J1103507,J0106,科研训练及科研能力提高项目,袁生,南京师范大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,14,J1103608,J0108,本科生认知药物成药性的实践能力培养实验教学平台建设,尤启冬,中国药科大学,200,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,15,J1103101,J0101,南京大学数学基地,尤建功,南京大学,200,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,16,J1103207,J0103,中国科学技术大学物理学基地,尹民,中国科学技术大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,17,J1103607,J0108,中医学专业本科生科研创新能力训练体系建设与优化,叶进,上海中医药大学,400,2012-01至2015-12
2011,国家基础科学人才培养基金,A01,18,J1103519,J0106,云南大学生物学基地,叶辉,云南大学,200,2012-01至2015-12
