year,grant,sub,num,id,subject,title,author,school,money,duration
2001,国家杰出青年科学基金,A01,1,30125025,C0601,分子遗传学,左建儒,中国科学院遗传与发育生物学研究所,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,2,10125520,A050409,核科学和其他学科的交叉,邹亚明,复旦大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,3,50125310,E0309,功能高分子材料,邹德春,北京大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,4,20125206,B0306,物理有机化学,朱晓晴,南开大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,5,20125719,B06,环境化学,朱利中,浙江大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,6,30125032,C140104,作物病毒病害,周雪平,浙江大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,7,30125023,C07,细胞生物学及发育生物学,周桥,四川大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,8,20125311,B03,物理化学,周鸣飞,复旦大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,9,30125010,C05,生物化学和分子生物学,周金秋,中国科学院上海生命科学研究院,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,10,60125512,F050103,光学存贮及材料,周常河,中国科学院上海光学精密机械研究所,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,11,10125209,A0203,固体力学,仲政,同济大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,12,50125312,E0307,多组分多相高分子材料,郑强,浙江大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,13,50125205,E0202,玻璃材料,赵修建,武汉理工大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,14,50125309,E0309,换能材料,赵兴中,武汉大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,15,30125043,H3001,药物合成学,赵康,天津大学,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,16,30125018,H0812,病理生理学,赵春华,中国医学科学院,80,2002-01至2005-12
2001,国家杰出青年科学基金,A01,17,30125017,H1617,肿瘤病理学,张学,中国医科大学,80,2002-01至2005-12
