year,grant,sub,num,id,subject,title,author,school,money,dueration
2013,国家杰出青年科学基金,A01,1,21325730,B060305,环境污染化学,祝凌燕,南开大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,2,51325602,E0603,微流器件内多相反应流传热传质,朱恂,重庆大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,3,81325008,H0921,抑郁症发生机制与防治研究,朱心红,南方医科大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,4,21325625,B080803,精细有机化工,朱为宏,华东理工大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,5,21325628,B0805,低品位复杂铁矿高效利用基础,朱庆山,中国科学院过程工程研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,6,51325502,E051001,数字化制造与数控加工技术,朱利民,上海交通大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,7,51325903,E090701,岩土体本构关系与数值模拟,周小平,重庆大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,8,51325403,E041003,矿井瓦斯抽采与安全,周福宝,中国矿业大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,9,51325601,E060504,气固两相流,钟文琪,东南大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,10,61325026,F0509,有机光电子功能材料与器件,郑庆东,中国科学院福建物质结构研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,11,51325701,E0707,新型特种电机的理论及工程应用技术,郑萍,哈尔滨工业大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,12,41325020,D0508,大气污染源与模型的定量不确定性分析,郑君瑜,华南理工大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,13,11325420,A040503,生物医学超声,郑海荣,中国科学院深圳先进技术研究院,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,14,21325627,B0807,高还原度化合物生物制造的基础研究,赵宗保,中国科学院大连化学物理研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,15,51325503,E051202,微/纳机械传感与控制,赵玉龙,西安交通大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,16,81325003,H0804,淋巴细胞疾病,赵维莅,上海交通大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,17,61325013,F020808,物联网多维信息智能感知与计算关键技术研究,赵季中,西安交通大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,18,81325022,H3101,神经药理学,招明高,中国人民解放军第四军医大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,19,11325107,A010601,非线性泛函分析,张志涛,中国科学院数学与系统科学研究院,140,2014-01至2017-12
2013,国家杰出青年科学基金,A01,20,31325022,C140102,植物病理学,张正光,南京农业大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,21,41325001,D0702,湖泊光学与水色遥感,张运林,中国科学院南京地理与湖泊研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,22,61325015,F030118,数据驱动的过程控制,张颖伟,东北大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,23,81325019,H1008,风湿病和临床免疫,张烜,中国医学科学院北京协和医院,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,24,21325520,B0404,生化分析及生物传感,张晓兵,湖南大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,25,11325105,A011003,随机流与随机偏微分方程,张希承,武汉大学,140,2014-01至2017-12
2013,国家杰出青年科学基金,A01,26,61325021,F0408,新型纳米信息器件,张广宇,中国科学院物理研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,27,11325104,A010502,复动力系统,张高飞,南京大学,140,2014-01至2017-12
2013,国家杰出青年科学基金,A01,28,21325523,B040403,生化分析,张春阳,山东师范大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,29,41325004,D0106,高光谱遥感智能观测机理与信息处理模型研究,张兵,中国科学院遥感与数字地球研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,30,81325004,H0503,慢性肾脏病,张爱华,南京医科大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,31,11325418,A040305,冷原子物理,翟荟,清华大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,32,41325021,D0603,海底热液活动研究,曾志刚,中国科学院海洋研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,33,51325703,E0705,输变电系统长空气间隙放电机理及雷击防护,曾嵘,清华大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,34,51325603,E0603,传热传质学,宇波,北京石油化工学院,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,35,61325002,F010205,超宽带光纤传输系统与网络,余建军,复旦大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,36,31325007,C050102,核酸蛋白质复合物的结构,叶克穷,中国科学院生物物理研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,37,61325024,F050208,有源多组分玻璃光纤与器件,杨中民,华南理工大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,38,81325021,H3007,药物设计方法与抗肿瘤靶向药物研究,杨胜勇,四川大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,39,21325313,B03,多相手性催化,杨启华,中国科学院大连化学物理研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,40,51325803,E080301,建筑热环境,杨柳,西安建筑科技大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,41,31325025,C040204,鲸类进化历史与适应机制,杨光,南京师范大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,42,51325201,E0201,光电功能晶体生长与应用研究,杨春晖,哈尔滨工业大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,43,21325522,B0404,生物分析化学,杨朝勇,厦门大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,44,41325008,D0711,古气候学,杨保,中国科学院寒区旱区环境与工程研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,45,41325019,D0502,青藏高原地表-大气能水循环过程及其区域影响,阳坤,中国科学院青藏高原研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,46,11325103,A010704,哈密尔顿动力系统,严军,复旦大学,140,2014-01至2017-12
2013,国家杰出青年科学基金,A01,47,61325023,F0503,信息光子与通信,闫连山,西南交通大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,48,51325504,E0504,机械结构完整性,轩福贞,华东理工大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,49,51325306,E030301,天然蛋白质纤维与再生,徐卫林,武汉纺织大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,50,21325418,B040613,高分子非晶液-固转变及非晶固体本质,徐宁,中国科学技术大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,51,21325209,B01,不对称合成与手性药物,徐明华,中国科学院上海药物研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,52,61325022,F040101,大尺寸、高质量氮化镓单晶衬底材料的生长与物性研究,徐科,中国科学院苏州纳米技术与纳米仿生研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,53,51325304,E0310,生物医用高分子材料,徐福建,北京化工大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,54,51325303,E030901,有机高分子光电器件物理与界面工程,谢志元,中国科学院长春应用化学研究所,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,55,21325207,B010305,不对称催化合成研究,谢建华,南开大学,200,2014-01至2017-12
2013,国家杰出青年科学基金,A01,56,51325802,E0805,结构工程,肖建庄,同济大学,200,2014-01至2017-12
