year,grant,sub,num,id,subject,title,author,school,money,dueration
2003,国际(地区)合作与交流项目,A01,1,50310205099,E01,第四届材料电磁过程国际会议(EPM2003),左良,东北大学,1.0,2003-10至2003-10
2003,国际(地区)合作与交流项目,A01,2,60310206334,F03,第四届控制与自动化国际会议,邹云,南京理工大学,0.4141,2003-06至2003-12
2003,国际(地区)合作与交流项目,A01,3,50310405137,E01,晶体微区应力场的实验测定,邹化民,武汉大学,1.0,2003-10至2003-11
2003,国际(地区)合作与交流项目,A01,4,50310205105,E03,第四届国际分子光电材料大会,邹德春,北京大学,0.6,2003-08至2003-09
2003,国际(地区)合作与交流项目,A01,5,10310201016,A01,第三届中国科技典籍国际会议：“历史的基础和新的观点”,邹大海,中国科学院自然科学史研究所,0.85,2003-03至2003-04
2003,国际(地区)合作与交流项目,A01,6,40310404171,D05,留学人员短期回国工作讲学A01,邹崇建,兰州大学,0.5,2004-06至2004-06
2003,国际(地区)合作与交流项目,A01,7,60310206333,F03,第41届国际计算语言学年会,宗成庆,中国科学院自动化研究所,0.8807,2003-07至2003-12
2003,国际(地区)合作与交流项目,A01,8,60310206318,F03,第41届国际计算语言学年会,宗成庆,中国科学院自动化研究所,0.05,2003-07至2003-08
2003,国际(地区)合作与交流项目,A01,9,30310103242,H2610,沙尘暴细颗粒物的理化特性及其对人体健康的影响,庄国顺,北京师范大学,1.1803,2003-05至2004-08
2003,国际(地区)合作与交流项目,A01,10,20310102018,B06,我国气溶胶的来源，分布，转化及其对气候影响,庄国顺,北京师范大学,2.0,2003-06至2003-09
2003,国际(地区)合作与交流项目,A01,11,70331160407,G02,跨文化营销渠道行为研究,庄贵军,西安交通大学,25.0,2004-01至2006-12
2003,国际(地区)合作与交流项目,A01,12,30310203178,C10,第二届海峡两岸毒理学研讨会,诸洪达,中国医学科学院,0.5,2003-12至2003-12
2003,国际(地区)合作与交流项目,A01,13,50310205157,E04,第三届新加坡国际化学会议,朱志伟,北京大学,1.0,2003-12至2003-12
2003,国际(地区)合作与交流项目,A01,14,30310203014,C05,第17届糖复合物国际学术会议,朱正美,大连医科大学,0.8,2003-03至2003-03
2003,国际(地区)合作与交流项目,A01,15,60310206323,F03,IEEE 2003年决策与控制会议,朱允民,四川大学,1.6,2003-12至2003-12
2003,国际(地区)合作与交流项目,A01,16,20310302109,B06,第三届亚太土壤污染大会,朱永官,中国科学院生态环境研究中心,4.0,2003-11至2003-11
2003,国际(地区)合作与交流项目,A01,17,30310203089,C170102,第19届国际遗传学大会,朱兴全,华南农业大学,1.5,2003-07至2003-07
2003,国际(地区)合作与交流项目,A01,18,30310203185,C170106,第六届国际草食动物营养学学术研讨会,朱伟云,南京农业大学,1.2,2003-10至2003-11
2003,国际(地区)合作与交流项目,A01,19,10310301036,A05,小x物理国际研讨会,朱伟,华东师范大学,3.0,2003-06至2003-06
2003,国际(地区)合作与交流项目,A01,20,50310205086,E09,第10届国际岩石力学协会学术大会,朱维申,中国科学院武汉岩土力学研究所,1.0,2003-09至2003-09
2003,国际(地区)合作与交流项目,A01,21,350210186,,第十九届分子碰撞动态学会议,朱起鹤,中国科学院化学研究所,1.5,2003-07至2003-07
2003,国际(地区)合作与交流项目,A01,22,50310205025,E05,第14届材料磨损国际会议,朱旻昊,西南交通大学,1.0,2003-03至2003-04
2003,国际(地区)合作与交流项目,A01,23,40311130468,D02,扬子区寒武纪大爆发时期环境和生命过程的综合研究,朱茂炎,中国科学院南京地质古生物研究所,2.6,2003-09至2004-01
2003,国际(地区)合作与交流项目,A01,24,40311130161,D02,扬子区寒武纪大爆发时期环境和生命过程的综合研究,朱茂炎,中国科学院南京地质古生物研究所,3.5,2003-05至2004-01
2003,国际(地区)合作与交流项目,A01,25,40311130059,D02,杨子区寒武纪大爆发时期环境和生命过程的综合研究,朱茂炎,中国科学院南京地质古生物研究所,1.2,2003-03至2003-04
2003,国际(地区)合作与交流项目,A01,26,40310204131,D03,第十三届戈尔施密特地球化学年会,朱建明,中国科学院地球化学研究所,0.5,2003-09至2003-09
2003,国际(地区)合作与交流项目,A01,27,50310205165,E06,第21届国际制冷大会,朱冬生,华南理工大学,0.9,2003-11至2003-12
2003,国际(地区)合作与交流项目,A01,28,30310203082,C04,支序系统学第22届年会,朱朝东,中国科学院动物研究所,0.8,2003-07至2003-08
2003,国际(地区)合作与交流项目,A01,29,50310205169,E03,第三届聚酰亚胺和其它耐高温聚和物合成、表面和应用的国际会议,朱宝库,浙江大学,1.0,2003-12至2003-12
2003,国际(地区)合作与交流项目,A01,30,50310205108,E02,第八届IUMRS国际现代材料会议,周祚万,西南交通大学,1.0,2003-10至2003-10
2003,国际(地区)合作与交流项目,A01,31,10310201018,A01,第四届动力系统及其应用国际会议,周作领,中山大学,1.0,2003-05至2003-05
