year,grant,sub,num,id,subject,title,author,school,money,duration
2014,国际(地区)合作与交流项目,A01,1,71481260328,G0314,应对老龄化社会研究学术研讨会,左美云,中国人民大学,0.46,2014-09至2014-12
2014,国际(地区)合作与交流项目,A01,2,31410303014,C140103,第3届国际欧文氏菌学术研讨会,邹丽芳,上海交通大学,5.0,2014-06至2014-12
2014,国际(地区)合作与交流项目,A01,3,31410303006,C130405,第19届十字花科植物遗传学会及芸薹属2014年年会,邹珺,华中农业大学,6.0,2014-04至2014-12
2014,国际(地区)合作与交流项目,A01,4,11481330394,A050306,中德跨模态学习专题研讨会,邹冰松,中国科学院理论物理研究所,6.8,2014-11至2014-12
2014,国际(地区)合作与交流项目,A01,5,11410301019,A040408,第十一届国际光子和电磁晶体结构会议,资剑,复旦大学,10.0,2014-05至2014-08
2014,国际(地区)合作与交流项目,A01,6,51481340369,E060702,2014中泰可再生能源研讨会,庄新姝,中国科学院广州能源研究所,13.0,2015-01至2015-01
2014,国际(地区)合作与交流项目,A01,7,11411120220,A050304,NSFC-TAMU合作交流项目：用重夸克偶素研究夸克胶子等离子体,庄鹏飞,清华大学,5.0,2014-10至2015-09
2014,国际(地区)合作与交流项目,A01,8,61410306057,F020805,"第六届可信系统国际会议(INTRUST,2014)",祝烈煌,北京理工大学,3.0,2014-09至2014-12
2014,国际(地区)合作与交流项目,A01,9,81420108003,H02,运用代谢组学手段研究n3多不饱和脂肪酸在心血管疾病中的保护作用及其机制,朱毅,天津医科大学,320.0,2015-01至2019-12
2014,国际(地区)合作与交流项目,A01,10,31420103916,C0704,纺锤体基质在细胞命运和身份的维持与转换中的功能研究,朱学良,中国科学院上海生命科学研究院,314.0,2015-01至2019-12
2014,国际(地区)合作与交流项目,A01,11,51410305067,E0801,第十一届环境行为国际研讨会,朱小雷,华南理工大学,3.0,2014-11至2014-12
2014,国际(地区)合作与交流项目,A01,12,61410306055,F0207,第十届通信网络安全和隐私国际会议,朱文涛,中国科学院信息工程研究所,4.0,2014-09至2014-12
2014,国际(地区)合作与交流项目,A01,13,41481320054,D0510,中加（NSFC-FRQNT）地质与气候变化双边研讨会,朱彤,北京大学,10.0,2014-04至2014-12
2014,国际(地区)合作与交流项目,A01,14,41411140046,D0510,国际应用系统分析研究学会暑期青年科学家项目,朱彤,北京大学,4.3,2014-06至2014-12
2014,国际(地区)合作与交流项目,A01,15,31411130227,C020405,小球藻产能优化培养及环境适应性研究,朱顺妮,中国科学院广州能源研究所,4.9,2013-12至2014-12
2014,国际(地区)合作与交流项目,A01,16,31491240259,C180501,ILRI-NSFC科研合作会议,朱启运,中国农业科学院兰州兽医研究所,3.0,2014-10至2015-12
2014,国际(地区)合作与交流项目,A01,17,61411140247,F020204,多语言、跨文化语义联想概念网络的研究,朱其立,上海交通大学,10.0,2014-07至2016-06
2014,国际(地区)合作与交流项目,A01,18,51410105001,E0105,第八届氢与能源国际会议,朱敏,华南理工大学,5.0,2014-02至2014-08
2014,国际(地区)合作与交流项目,A01,19,11491240102,A020502,基于AFM技术研究I型胶原抗体在胶原纤维上的结合位点及作用力,朱杰,西北农林科技大学,1.5,2014-06至2014-12
2014,国际(地区)合作与交流项目,A01,20,31411130192,C040504,黄粉甲防御性蛋白对寄生蜂毒液和Bt毒素响应的比较研究,朱家颖,西南林业大学,8.5,2014-01至2015-12
2014,国际(地区)合作与交流项目,A01,21,71411140050,G031203,国际应用系统分析研究学会暑期青年科学家项目,朱兵,清华大学,4.3,2014-06至2014-12
2014,国际(地区)合作与交流项目,A01,22,81461168031,H0713,脂肪酸结合蛋白-4诱发自身免疫糖尿病的作用机制及临床意义,周智广,中南大学,90.0,2015-01至2018-12
2014,国际(地区)合作与交流项目,A01,23,81411130217,H1601,胰岛素样生长因子家族在代谢综合征相关性肿瘤中的作用研究,周志伟,中山大学,9.0,2014-01至2015-12
2014,国际(地区)合作与交流项目,A01,24,61481260299,F030504,2014年海量数据学术研讨会,周志华,南京大学,1.0,2014-09至2014-12
2014,国际(地区)合作与交流项目,A01,25,11410301034,A010701,2014年广州生物数学国际学术会议,周展,广州大学,4.0,2014-05至2014-10
