year,grant,sub,num,id,subject,title,author,school,money,dueration
2008,海外及港澳学者合作研究基金,A01,1,30828024,C170106,乳酸杆菌替代抗生素改善断奶仔猪肠道应激的转录组和蛋白质组学分析,周怀军,中国农业大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,2,30828011,H2201,辐射诱导造血干细胞氧化损伤机制研究,周道洪,中国医学科学院,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,3,10828407,A040406,超快光学与生物光子学,仲冬平,北京大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,4,50828801,E080507,信息不完备和信息更新条件下的结构体系可靠度分析,赵衍刚,同济大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,5,30828026,C1802,金黄色葡萄球菌导致奶牛乳腺炎的作用机制,赵辛,复旦大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,6,30828031,H0912,alpha-synuclein激活还原型辅酶II氧化酶（PHOX）的机制及与小胶质细胞激活关系的研究,章京,上海交通大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,7,50828601,E0603,微纳米颗粒激光烧结中微尺度相变换热,张玉文,上海理工大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,8,70828002,G0305,中国区域协调发展、治理结构与农村公共投资,张晓波,浙江大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,9,50828901,E0907,土石坝在极端动力荷载下的溃决机理及应急对策研究,张利民,清华大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,10,10828306,A0304,太阳高能事件的多样性起源,张捷,南京大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,11,30828018,C0706,内质网功能障碍诱导的细胞凋亡的化学生物学研究,袁钧瑛,中国科学院上海药物研究所,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,12,20828002,B01,含噁唑啉金属配合物的合成及性能研究,余金权,南京大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,13,30828017,H0818,热休克蛋白作为多发性骨髓瘤免疫治疗靶点的研究,易庆,中国人民解放军第二军医大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,14,40828004,D0507,中国北方干旱化形成机理的数值模拟研究,杨宗良,中国科学院大气物理研究所,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,15,60828002,F010204,多终端视频网络技术研究,熊子祥,清华大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,16,70828001,G0111,智能质量控制与复杂系统可靠性优化研究,谢旻,电子科技大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,17,60828006,F0301,协同估计与控制理论及在传感器网络中的应用,谢立华,华南理工大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,18,40828005,D0508,台风资料同化、资料影响性和台风强度突变研究,肖庆农,南京大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,19,60828005,F030504,带有通配符和长度约束的模式匹配和挖掘,吴信东,合肥工业大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,20,30828033,H2808,中药活性成分防治苯丙胺类毒品滥用成瘾的作用机制研究,翁建霖,南方医科大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,21,30828001,C020203,东亚-北美间断植物类群的分子系统学和生物地理学,文军,中国科学院昆明植物研究所,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,22,30828020,H0802,斑马鱼造血干细胞缺失突变体遗传筛选和鉴定,温子龙,南方医科大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,23,50828201,E0207,金属氧化物纳米结构的制备和应用基础研究,魏秉庆,清华大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,24,20828007,B020103,生物质源低碳醇重整制氢纳米复合物催化剂的研究,王勇,清华大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,25,40828003,D041001,中高层大气与电离层逐日变化的源和产生机制研究,王文斌,中国科学院国家空间科学中心,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,26,30828032,H1207,AIP1调控糖尿病视网膜病变的分子机制研究,王敏,中山大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,27,30828008,C10,组织工程复合支架与控制释放生物活性物质的协同作用研究,王敏,天津大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,28,20828001,B010103,稀土/金纳米结构的表面等离子共振对上转换荧光增强的研究,王建方,北京大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,29,60828007,F030117,复杂工业过程全局协调故障诊断与容错控制,王宏,东北大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,30,30828022,C130401,水稻假病斑调节基因Spl11介导的植物细胞程序化死亡及抗病信号传导机制研究,王国梁,湖南农业大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,31,60828009,F0512,光声共焦与激光散斑集成显微成像技术研究,汪立宏,华中科技大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,32,30828027,H1907,运用白纹伊蚊microRNA阻断登革热传播,屠志坚,南方医科大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,33,20828005,B020403,电化学原位NMR和FTIR研究燃料电池纳米单晶催化剂,童瑜晔,厦门大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,34,30828015,C0910,脊髓谷氨酸转运体在慢性病理性疼痛发病机制中作用的研究,陶元祥,南京医科大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,35,60828008,F040204,考虑工艺参数变化的纳米集成电路设计优化理论与关键技术,谭向东,清华大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,36,30828019,C0709,Tip60在细胞早衰和肿瘤抑制中作用的分子机制,孙培庆,厦门大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,37,50828701,E070401,大电网安全优化决策支持平台,司捷,清华大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,38,30828021,C130401,高抗性淀粉水稻：淀粉结构、功能特性与应用研究,史永成,扬州大学,20,2009-01至2010-12
2008,海外及港澳学者合作研究基金,A01,39,30828013,C0901,肿瘤坏死因子II型受体在阿尔茨海默病中的保护作用机制,申勇,青岛大学,20,2009-01至2010-12
