year,grant,sub,num,id,subject,title,author,school,money,dueration
2014,海外及港澳学者合作研究基金,A01,1,31428003,C0504,Calcineurin→NFATc4参与Neuritin调控神经元Kv4.2表达和兴奋性的分子机制,周志荣,复旦大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,2,71428007,G020103,市场规制与社会关系共演条件下中国企业的创新能力成长问题研究,周政,西安交通大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,3,51428301,E031002,接枝共聚法制备携带iRGD的pH敏感性多功能抗肿瘤纳米金颗粒,钟闻,南方医科大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,4,31428002,C161002,杨树维管形成层区域生长素极性分布的形成和维持机制研究,郑环泉,中国林业科学研究院林业研究所,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,5,41428601,D0608,特征化合物同位素分析应用于雌激素来源与归宿研究,张祖麟,厦门大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,6,41428602,D0609,基于共生互作的海绵微生物群落结构多样性及其代谢组变化规律,张卫,上海交通大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,7,11428205,A02,纳米电极材料的多尺度破坏分析及优化设计,张宿林,大连理工大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,8,61428104,F010301,面向移动视频业务的设备间直接通信的理论与关键技术研究,张黔,华中科技大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,9,51428501,E0501,薄煤层采煤机器人钻采机构及性能的研究,张丹,中国矿业大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,10,81428002,H0811,凝血因子VIII的囊泡运输与血友病的发病机理和治疗研究,张斌,中国医学科学院,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,11,81429003,H1008,滤泡辅助性T淋巴细胞在自身免疫性疾病中的作用机制,余迪,北京大学,200,2015-01至2018-12
2014,海外及港澳学者合作研究基金,A01,12,61429301,F030307,信息物理融合系统隐私与控制协同设计理论与方法,游劲扬,浙江大学,200,2015-01至2018-12
2014,海外及港澳学者合作研究基金,A01,13,61428304,F0306,基于非稳定人机交互系统的人机运动建模与协调控制方法研究,易劲刚,浙江大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,14,51428302,E031502,用于红外体视的人工复眼光学模型及成型方法研究,姚冬刚,中国科学院上海技术物理研究所,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,15,81428015,H1910,梅毒螺旋体致病因子及其调控通路研究,杨晓峰,温州医科大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,16,51428901,E0907,岩土介质波动理论与实验研究及其工程应用,杨峻,上海交通大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,17,71428005,G020102,中国创业企业的成长战略：基于网络演变和制度创新的视角,杨海滨,武汉大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,18,81429002,H0912,神经元BACE1的定位调控,晏日强,中南大学,200,2015-01至2018-12
2014,海外及港澳学者合作研究基金,A01,19,61428205,F020808,无线网络“通信复杂度”理论和技术的研究,许骏,上海交通大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,20,31428004,C0508,时空聚焦-双(多)光子显微镜成像技术及其在生物学中应用,许春辉,北京大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,21,21428305,B030504,钙钛矿敏化太阳能电池中微/纳结构的光阳极构筑及新模式电子传输机制研究,徐涛,中国科学院新疆理化技术研究所,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,22,61429101,F0103,超密集无线网络的主动干扰控制理论与方法,熊子祥,北京航空航天大学,200,2015-01至2018-12
2014,海外及港澳学者合作研究基金,A01,23,61428401,F0403,含In氮化物基超高速电子器件,邢惠丽,北京大学,20,2015-01至2016-12
2014,海外及港澳学者合作研究基金,A01,24,81428017,H1617,NCOA5通过HNF4α影响肝脏干/祖细胞分化和肝细胞癌发生发展,肖华,南方医科大学,20,2015-01至2016-12
