year,grant,sub,num,id,subject,title,author,school,money,duration
2015,海外及港澳学者合作研究基金,A01,1,51528302,E030905,导热性能优异的多层聚合物纳米复合材料,祝磊,四川大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,2,31528003,C030602,中国东北自然次生林与人工林土壤碳积累和碳稳定的机制研究,朱伟兴,中国科学院沈阳应用生态研究所,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,3,61528206,F020809,体感网的能量优化和感知资源调度研究,周刚,西南大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,4,31528017,C140102,调控无毒基因表达的稻瘟菌转录因子的鉴定和功能分析,周波,福建农林大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,5,81528001,H0801,C/EBPβ异质性表达影响骨髓间充质干细胞成脂分化的单细胞基因调控研究,钟江帆,中国人民解放军第三军医大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,6,81528021,H3008,细胞和斑马鱼模型评价纳米制剂的跨膜转运机理和体内过程,郑颖,北京大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,7,41528601,D0601,吕宋海峡及周边海域内潮的能量传递过程和机制,赵仲祥,中国科学院海洋研究所,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,8,31528009,C0805,自体血免疫细胞教育新疗法治疗糖尿病分子生物学机制的研究,赵勇,中国人民解放军总医院,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,9,61528105,F010405,基于群智感知的大规模频谱资源优化研究,章君山,浙江大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,10,81528003,H0215,货运受体Surf4在调控前蛋白转化酶枯草溶菌素(PCSK)9分泌过程中的作用,章大卫,泰山医学院,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,11,81528014,H1618,雌激素受体а调控线粒体呼吸链活性对无功能性垂体腺瘤侵袭行为发生的作用,张伟华,中国人民解放军第三军医大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,12,41528502,D0507,热带风场对ENSO非对称性的影响,张韬,中国科学院大气物理研究所,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,13,31529003,C0907,听觉系统下丘和皮层双耳信息加工的突触微环路,张砺,南方医科大学,180,2016-01至2019-12
2015,海外及港澳学者合作研究基金,A01,14,41528501,D0506,热带气旋边界层精细结构及动力学过程观测分析研究,张骏,中国气象局上海台风研究所,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,15,51528802,E080504,新型损伤可控摇摆墙及其抗震性能评价研究,张简,东南大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,16,51528201,E020701,二维光电材料与器件,张华,南京工业大学,18,2016-01至2017-12
2015,海外及港澳学者合作研究基金,A01,17,61528208,F020501,三维模型的形态、功能和制造研究,张皓,深圳大学,18,2016-01至2017-12
