year,grant,sub,num,id,subject,title,author,school,money,duration
2004,联合基金项目,A01,1,10477001,A02,复杂截面型材3D拉弯成形数值模拟及关键技术研究,周贤宾,北京航空航天大学,20,2005-01至2007-12
2004,联合基金项目,A01,2,10477006,A02,NiAl金属间化合物强磁场作用强韧化的机理,周文龙,大连理工大学,19,2005-01至2007-12
2004,联合基金项目,A01,3,50422284,E050702,复杂工况下人车碰撞行人下肢安全的试验评估和模拟方法,周青,清华大学,28,2005-01至2007-12
2004,联合基金项目,A01,4,30422201,H2610,颅脑交通伤临床流行病学调查,周良辅,复旦大学,27,2005-01至2007-12
2004,联合基金项目,A01,5,10477009,A02,Nb3Al增强NbTiAl基强韧匹配层叠结构高温金属间化合物的激光合成制备机制,钟敏霖,清华大学,20,2005-01至2007-12
2004,联合基金项目,A01,6,60433040,F0208,对等计算及广域网虚拟平台,郑纬民,清华大学,200,2005-01至2008-12
2004,联合基金项目,A01,7,50409001,E090104,复杂水资源系统的演化动力机制及整体模型研究,赵建世,清华大学,25,2005-01至2007-12
2004,联合基金项目,A01,8,10477016,A02,法拉第磁光偏频技术在零锁区激光陀螺中的应用,赵建林,西北工业大学,22,2005-01至2007-12
2004,联合基金项目,A01,9,10476016,A06,塑料粘结炸药内应力及其测试方法研究,赵北君,四川大学,25,2005-01至2007-12
2004,联合基金项目,A01,10,50474082,E041205,高合金钢喷射成形过程中金属液滴的雾化和沉积机理研究,张胤,内蒙古科技大学,24,2005-01至2007-12
2004,联合基金项目,A01,11,10476020,A06,基于神经网络的复杂结构动力学的杂交建模研究,张希农,西安交通大学,25,2005-01至2007-12
2004,联合基金项目,A01,12,60472114,F01,飞机铝合金构件在位表面电容特征与腐蚀行为相关性的研究,张巍,北京科技大学,27,2005-01至2007-12
2004,联合基金项目,A01,13,10476003,A06,铀表面用离子束辅助沉积形成铝、钛薄膜及其动力学过程模拟研究,张庆瑜,大连理工大学,30,2005-01至2007-12
2004,联合基金项目,A01,14,60472113,F01,情境意识与心理负荷对民航飞行安全的影响,张侃,中国科学院心理研究所,23,2005-01至2007-12
2004,联合基金项目,A01,15,10476031,A06,玻璃微珠表面改性方法及其机理研究,张敬杰,中国科学院理化技术研究所,29,2005-01至2007-12
2004,联合基金项目,A01,16,70422201,G0409,驾驶员脑负荷与交通信息整合优化安全性研究,张殿业,西南交通大学,27,2005-01至2007-12
2004,联合基金项目,A01,17,10477019,A02,极低信噪比红外图像的目标检测与跟踪技术研究,余农,中国科学院上海技术物理研究所,22,2005-01至2007-12
2004,联合基金项目,A01,18,50422282,E080702,道路交通环境负荷分析模型及削减对策的基础研究,杨忠振,大连海事大学,27,2005-01至2007-12
2004,联合基金项目,A01,19,50434040,E041603,钢亚快速凝固机理、控制方法及对材料性能的影响,杨院生,中国科学院金属研究所,150,2005-01至2008-12
2004,联合基金项目,A01,20,10476026,A06,精密表面缺陷的数字化评价系统的研究,杨甬英,浙江大学,30,2005-01至2007-12
2004,联合基金项目,A01,21,10476023,A06,PZT超细微粉合成及其烧结体性能研究,杨世源,西南科技大学,24,2005-01至2007-12
2004,联合基金项目,A01,22,50471106,E010803,针状铁素体管线钢中的复相结构及其对强韧性能的影响,杨柯,中国科学院金属研究所,26,2005-01至2007-12
2004,联合基金项目,A01,23,10476005,A06,共形相控阵天线技术研究,杨峰,电子科技大学,26,2005-01至2007-12
2004,联合基金项目,A01,24,50474074,E041603,电脉冲孕育处理效果的时间相关性及其机理解析,薛庆国,北京科技大学,10,2005-01至2005-12
2004,联合基金项目,A01,25,10477010,A02,定向凝固高温合金单晶叶片微观组织模拟与杂晶形成的预测,许庆彦,清华大学,21,2005-01至2007-12
2004,联合基金项目,A01,26,10476017,A06,用γ射线衍射测量中子单色器镶嵌角的技术研究,徐家云,四川大学,30,2005-01至2007-12
2004,联合基金项目,A01,27,10477005,A02,信息化战场环境下航空电子综合系统的动态行为及设计方法研究,熊华钢,北京航空航天大学,19,2005-01至2007-12
2004,联合基金项目,A01,28,60472122,F01,我国进近和着陆阶段事故及事故征候发生规律和预防研究,谢孜楠,中国民航科学技术研究院,29,2005-01至2007-12
2004,联合基金项目,A01,29,60472115,F01,电气线路起火点导线熔珠表层溶入元素研究,谢明立,中国民航科学技术研究院,25,2005-01至2008-12
2004,联合基金项目,A01,30,10476025,A06,液体化学蚀刻表面成形新技术研究,项震,浙江大学,28,2005-01至2007-12
2004,联合基金项目,A01,31,50409002,E0904,黄河下游滩岸侵蚀机理与数值模拟研究,夏军强,清华大学,23,2005-01至2007-12
2004,联合基金项目,A01,32,50471107,E0106,低碳微合金化钢中晶内铁素体的三维形态及其长大动力学,吴开明,武汉科技大学,24,2005-01至2007-12
2004,联合基金项目,A01,33,10476022,A06,直流局部放电信号的提取与分析,吴广宁,西南交通大学,28,2005-01至2007-12
2004,联合基金项目,A01,34,60472116,F01,飞行器早期故障信息获取和智能诊断新方法研究,王仲生,西北工业大学,20,2005-01至2007-12
2004,联合基金项目,A01,35,10477011,A02,微小型自适应机翼及其控制技术研究,王晓浩,清华大学,20,2005-01至2007-12
2004,联合基金项目,A01,36,50474023,E0414,低氟和无氟连铸保护渣行为特性及其调节机理,王谦,重庆大学,24,2005-01至2007-12
2004,联合基金项目,A01,37,50471104,E010501,硅钢中立方织构的形成机理和关键控制技术,王均安,上海大学,10,2005-01至2005-12
2004,联合基金项目,A01,38,50474028,E0416,纳米/微米晶复合韧化制备高强度大延伸块体纳米材料,王经涛,南京理工大学,24,2005-01至2007-12
2004,联合基金项目,A01,39,60472121,F01,多巢多食蚁群算法研究与民航飞机排班,王锦彪,中国民航大学,25,2005-01至2007-12
2004,联合基金项目,A01,40,50422285,E0807,混合交通中的机非冲突机理与基本参数研究,王殿海,吉林大学,24,2005-01至2007-12
