year,grant,sub,num,id,subject,title,author,school,money,dueration
2011,联合基金项目,A01,1,11179033,A0804,碳纳米管诱导生长多核共轭大环配合物的EXAFS研究,左霞,首都师范大学,48,2012-01至2014-12
2011,联合基金项目,A01,2,61179053,F01,飞行员分配性注意机理与工效学应用研究,庄达民,北京航空航天大学,36,2012-01至2014-12
2011,联合基金项目,A01,3,51174277,E0422,煤液化油重组份加氢裂化反应特性与催化剂的构效关系,朱志荣,同济大学,45,2012-01至2014-12
2011,联合基金项目,A01,4,51134009,E04,钢包底喷粉精炼新工艺应用基础研究,朱苗勇,东北大学,240,2012-01至2015-12
2011,联合基金项目,A01,5,U1162127,B081002,石油馏分中含氮化合物分子结构与溶解度的构效关系研究,朱京科,浙江大学,50,2012-01至2014-12
2011,联合基金项目,A01,6,11176019,A06,角度复用多幅激光全息记录技术及介质性能研究,朱建华,四川大学,48,2012-01至2014-12
2011,联合基金项目,A01,7,U1134003,L04,表面织构的微细电解加工基础问题及关键技术研究,朱荻,南京航空航天大学,250,2012-01至2015-12
2011,联合基金项目,A01,8,U1134103,E050501,高速列车盘形制动噪声的机理及预测方法的研究,周仲荣,西南交通大学,60,2012-01至2014-12
2011,联合基金项目,A01,9,11176026,A06,抗γ辐照的钨酸铅乳胶复合材料的制备及性能研究,周元林,西南科技大学,43,2012-01至2014-12
2011,联合基金项目,A01,10,U1162108,B08,太阳光辅助大-介孔钛膜电催化处理丙烯腈废水的应用研究,周幸福,南京工业大学,45,2012-01至2014-12
2011,联合基金项目,A01,11,U1162112,B08,多级孔道分子筛:溶剂挥发自组装合成及其中的传质-反应协同作用,周兴贵,华东理工大学,50,2012-01至2014-12
2011,联合基金项目,A01,12,U1132602,L02,增强认知功能药物干预海洛因复吸的药物发现和作用机制,周文华,宁波大学,200,2012-01至2015-12
2011,联合基金项目,A01,13,U1133006,L03,电子垃圾污染土壤的生态修复机制研究,周启星,南开大学,230,2012-01至2015-12
2011,联合基金项目,A01,14,51174258,E0422,光纤传感煤矿瓦斯的光谱域白光干涉解调机理研究,周孟然,安徽理工大学,45,2012-01至2014-12
2011,联合基金项目,A01,15,U1162113,B08,双亲性磁性碳笼负载金属催化剂控制合成及其催化水油两相反应研究,周克斌,中国科学院大学,45,2012-01至2014-12
2011,联合基金项目,A01,16,U1129302,L09,新疆典型矿床的特征提取技术及预测方法研究,周可法,中国科学院新疆生态与地理研究所,100,2012-01至2015-12
2011,联合基金项目,A01,17,51174257,E0422,基于信息融合的煤矿致灾机理建模及预测,周华平,安徽理工大学,45,2012-01至2014-12
2011,联合基金项目,A01,18,51134023,E0422,一矿一面集约生产安全通风技术基础,周福宝,中国矿业大学,200,2012-01至2015-12
2011,联合基金项目,A01,19,11176022,A06,基于大机动运动平台的特定目标多极化成像与匹配技术研究,周峰,西安电子科技大学,46,2012-01至2014-12
2011,联合基金项目,A01,20,61179044,F01,基于可测试性理论的机载电子设备故障诊断方法研究,周德新,中国民航大学,39,2012-01至2014-12
2011,联合基金项目,A01,21,51174279,E0422,神府粉煤成型催化热解－活化耦合多联产转化研究,周安宁,西安科技大学,45,2012-01至2014-12
2011,联合基金项目,A01,22,U1162119,B08,催化裂化烟气催化氧化/氨吸收脱硫脱硝关键技术研究,钟秦,南京理工大学,45,2012-01至2014-12
2011,联合基金项目,A01,23,11179032,A0802,碳纳米管与纳米颗粒弱键相互作用的软X射线谱学研究,钟俊,苏州大学,52,2012-01至2014-12
2011,联合基金项目,A01,24,51174249,E04,变厚度轧制过程金属流动规律,支颖,东北大学,42,2012-01至2014-12
2011,联合基金项目,A01,25,11178019,A03,Blazars中高能辐射机制研究,郑永刚,云南师范大学,26,2012-01至2014-12
2011,联合基金项目,A01,26,11178001,A03,脉冲星和中子星多波段研究及中子星演化,郑小平,华中师范大学,130,2012-01至2015-12
2011,联合基金项目,A01,27,61179056,F01,复杂激励下飞机载流管道系统振动疲劳分析技术研究,郑敏,南京航空航天大学,35,2012-01至2014-12
2011,联合基金项目,A01,28,61179059,F01,大型客机紧急逃生仿真建模及机舱相关设施布局优化研究,郑彬,电子科技大学,39,2012-01至2014-12
2011,联合基金项目,A01,29,11179007,A0801,BESIII上粲偶素强子衰变的实验研究,赵政国,中国科学技术大学,320,2012-01至2015-12
2011,联合基金项目,A01,30,51134022,E0422,振动流化床干法分选细粒煤的基础研究,赵跃民,中国矿业大学,220,2012-01至2015-12
2011,联合基金项目,A01,31,U1134209,E080507,基于全寿命可靠度的高速铁路工程结构设计理论与方法,赵衍刚,中南大学,260,2012-01至2015-12
2011,联合基金项目,A01,32,U1132002,L02,登革病毒抗体介导保护性免疫应答的分子机制,赵卫,南方医科大学,258,2012-01至2015-12
2011,联合基金项目,A01,33,U1162204,B08,重质油特征分子集及其加工转化规律的研究,赵锁奇,中国石油大学（北京）,270,2012-01至2015-12
2011,联合基金项目,A01,34,U1134105,E0314,新型高阻尼防污复合材料在高速列车上应用研究,赵宁,中国科学院化学研究所,60,2012-01至2014-12
2011,联合基金项目,A01,35,U1132603,L02,生物电信号对肿瘤生长转移的调控及机制研究,赵敏,云南师范大学,200,2012-01至2015-12
2011,联合基金项目,A01,36,U1174001,L04,阵列化硅纳米线/共轭聚合物杂合太阳能电池性能研究,章勇,华南师范大学,60,2012-01至2014-12
2011,联合基金项目,A01,37,U1131006,L01,华南地区外来物种福寿螺的入侵机制及防控策略研究,章家恩,华南农业大学,235,2012-01至2015-12
2011,联合基金项目,A01,38,U1136606,L06,云南粉虱传双生病毒成灾机理及防控基础,张仲凯,云南省农业科学院,180,2012-01至2015-12
2011,联合基金项目,A01,39,U1137604,L07,有色冶金含砷废渣低温陶瓷固化机理研究,张召述,昆明理工大学,210,2012-01至2015-12
2011,联合基金项目,A01,40,U1132601,L02,云南有毒两栖动物肽类活性物质结构与功能及作用机制,张云,中国科学院昆明动物研究所,200,2012-01至2015-12
2011,联合基金项目,A01,41,51174269,E0422,热力开采低渗透煤层煤层气机理的研究,张永利,辽宁工程技术大学,45,2012-01至2014-12
2011,联合基金项目,A01,42,U1162118,B08,乙烯选择性齐聚多孔择形催化剂的设计合成与催化性能研究,张瑛,中国石油大学（北京）,50,2012-01至2014-12
2011,联合基金项目,A01,43,51174259,E0422,一步法高效煤制低碳烯烃铁基催化剂及新反应器的研究,张燚,北京化工大学,45,2012-01至2014-12
2011,联合基金项目,A01,44,11179029,A0804,同步辐射研究可见光响应非金属掺杂二氧化钛的局域结构和电子结构,张艳峰,河北师范大学,48,2012-01至2014-12
2011,联合基金项目,A01,45,11178021,A0310,基于大型巡天数据的挖掘方法研究,张彦霞,中国科学院国家天文台,30,2012-01至2014-12
2011,联合基金项目,A01,46,11179031,A0802,聚左旋乳酸及其共混物纤维成型过程中多级微观结构的形成和演变机理：原位X-ray研究,张秀芹,北京服装学院,48,2012-01至2014-12
2011,联合基金项目,A01,47,51134008,E04,全氧高炉炼铁关键技术基础,张欣欣,北京科技大学,240,2012-01至2015-12
2011,联合基金项目,A01,48,11179020,A0801,64位系统上BESIII离线物理软件的研究,张晓梅,中国科学院高能物理研究所,50,2012-01至2014-12
2011,联合基金项目,A01,49,51174268,E0422,动荷载作用下锚喷支护结构损伤破坏机理与控制研究,张向东,辽宁工程技术大学,45,2012-01至2014-12
2011,联合基金项目,A01,50,U1135005,L05,跨媒体协同处理与服务的理论和应用研究,张文生,中国科学院自动化研究所,250,2012-01至2015-12
2011,联合基金项目,A01,51,11179012,A0802,蛋白质翻译延长过程中核糖体的结构与动力学研究,张文,复旦大学,56,2012-01至2014-12
2011,联合基金项目,A01,52,U1133603,L03,云南极端干旱气候的形成机理研究,张万诚,云南省气象科学研究所,205,2012-01至2015-12
2011,联合基金项目,A01,53,51174248,E04,超高强钢板冷轧和平整过程中表面形貌的转印机理与控制方法,张清东,北京科技大学,40,2012-01至2014-12
2011,联合基金项目,A01,54,61179045,F01,机场环境中行为感知基础理论研究,张良,中国民航大学,39,2012-01至2014-12
2011,联合基金项目,A01,55,11178009,A030303,银心区域CO及同位素分子的多波束观测研究,张江水,广州大学,32,2012-01至2014-12
2011,联合基金项目,A01,56,11178010,A03,用于天体光谱观测的多模光纤滤波器研究,张建中,哈尔滨工程大学,28,2012-01至2014-12
2011,联合基金项目,A01,57,61179068,F01,航空钛合金管材中织构取向密度与力学性能的关系研究,张晖,西安交通大学,39,2012-01至2014-12
2011,联合基金项目,A01,58,U1178303,L08,克里雅河山区水库建成对尾闾达理雅博依绿洲季节性洪水生态效应的影响,张峰,新疆大学,48,2012-01至2014-12
2011,联合基金项目,A01,59,11179026,A0801,基于同步辐射LIGA技术的微纳驱动器件制备及其驱动新方法研究,张冬仙,浙江大学,56,2012-01至2014-12
2011,联合基金项目,A01,60,U1170304,L10,齿肋赤藓复水过程的分子机制-基于基因和蛋白质高通量表达的研究,张道远,中国科学院新疆生态与地理研究所,50,2012-01至2014-12
2011,联合基金项目,A01,61,U1134109,E050702,高速列车受电弓气动噪声仿生控制关键技术,张成春,吉林大学,60,2012-01至2014-12
2011,联合基金项目,A01,62,51174263,E0422,基于Ethernet和WSN的矿井监控与应急通信技术研究,张长森,河南理工大学,45,2012-01至2014-12
2011,联合基金项目,A01,63,51174275,E0422,计算机分子模拟研究腐植酸分子结构特点及其与腐植酸生物活性的相关性,张彩凤,太原师范学院,45,2012-01至2014-12
2011,联合基金项目,A01,64,11176021,A06,Bragg体光栅制备及其带宽特性研究,袁孝,苏州大学,50,2012-01至2014-12
2011,联合基金项目,A01,65,U1134008,L04,复合水泥基材料高效利用的基础研究,余其俊,华南理工大学,250,2012-01至2015-12
2011,联合基金项目,A01,66,61179046,F01,基于多因素识别及影响性分析的航班延误治理研究,于剑,中国民航大学,39,2012-01至2014-12
2011,联合基金项目,A01,67,U1133005,L03,珠江流域水体与沉积物中典型有机污染物的生态毒理效应,应光国,中国科学院广州地球化学研究所,240,2012-01至2015-12
2011,联合基金项目,A01,68,U1162109,B080303,形貌规整的多孔纳米复合氧化物固体超强碱催化材料的制备、表征和应用研究,尹双凤,湖南大学,50,2012-01至2014-12
