year,grant,sub,num,id,subject,title,author,school,money,duration
2004,面上项目,A01,1,30471654,H1610,微泡超声空化损伤栓塞肿瘤微血管的作用机理,左松,中国人民解放军第三军医大学,20.0,2005-01至2007-12
2004,面上项目,A01,2,30470919,C0601,免疫调节基因及其domain swap后的植物抗病效应,左开井,上海交通大学,18.0,2005-01至2007-12
2004,面上项目,A01,3,30472147,H2803,云南地方习用治疗乙肝的米口袋属植物抗HBV活性成分的研究,左国营,成都军区昆明总医院,21.0,2005-01至2007-12
2004,面上项目,A01,4,50479053,E0905,沙坝海岸沿岸流和裂流的运动规律和计算模型研究,邹志利,大连理工大学,25.0,2005-01至2007-12
2004,面上项目,A01,5,60474078,F030101,阻隔控制的系统理论建模与分析,邹云,南京理工大学,22.0,2005-01至2007-12
2004,面上项目,A01,6,50473047,E030903,免显影热敏计算机直接制版版材研究,邹应全,北京师范大学,8.0,2005-01至2005-12
2004,面上项目,A01,7,30472214,H2708,三七三醇皂苷对脑梗死后不同恢复时点Nogo-A表达的影响,邹忆怀,北京中医药大学,20.0,2005-01至2007-12
2004,面上项目,A01,8,30471260,C170108,谷氨酰胺提高断奶仔猪免疫功能的机理研究,邹晓庭,浙江大学,24.0,2005-01至2007-12
2004,面上项目,A01,9,20475068,B030804,蛋白质三维结构预测的新方法研究,邹小勇,中山大学,10.0,2005-01至2005-12
2004,面上项目,A01,10,30470529,H2201,补体系统的辐射防护作用及其作用机制研究,邹强,中国人民解放军第三军医大学,20.0,2005-01至2007-12
2004,面上项目,A01,11,30470708,H0206,白藜三醇结合蛋白与血管平滑肌细胞增殖关系的研究,邹建刚,南京医科大学,21.0,2005-01至2007-12
2004,面上项目,A01,12,20477015,B060101,饮用水氯化消毒新副产物的研究,邹惠仙,南京大学,24.0,2005-01至2007-12
2004,面上项目,A01,13,50471028,E010701,微结构对金属介观尺度上力学性能影响的研究,邹化民,武汉大学,25.0,2005-01至2007-12
2004,面上项目,A01,14,20475054,B040103,毛细管电色谱新型分离材料的研制与应用,邹汉法,中国科学院大连化学物理研究所,31.0,2005-01至2007-12
2004,面上项目,A01,15,20477028,B060103,浮床植物的克藻效应及其机理,邹国燕,上海市农业科学院,23.0,2005-01至2007-12
2004,面上项目,A01,16,30470111,C020102,蓝细菌液泡生理功能及细胞学发生的系统分析,邹国林,武汉大学,8.0,2005-01至2005-12
2004,面上项目,A01,17,30471954,H1601,肺癌候选抑瘤基因HLCDG1的功能研究,邹飞雁,中南大学,21.0,2005-01至2007-12
2004,面上项目,A01,18,30470343,C030801,大型海藻对大气CO2浓度升高的响应与适应机理研究,邹定辉,汕头大学,22.0,2005-01至2007-12
2004,面上项目,A01,19,60472092,F010202,冲激无线电通信的新调制方法,邹传云,桂林电子科技大学,6.0,2005-01至2005-12
2004,面上项目,A01,20,30471711,H0205,RNA干扰使心室肌细胞自主起搏（生物起搏器）的实验研究,邹承伟,山东大学,21.0,2005-01至2008-12
2004,面上项目,A01,21,30470711,H0205,获得性LQTS药物作用HERG通道分子位点与功能研究,邹安若,华中科技大学,21.0,2005-01至2007-12
2004,面上项目,A01,22,40471058,D010502,基于双核廊道结构的大都市区景观竞争-共生增长模式研究,宗跃光,南京大学,30.0,2005-01至2007-12
2004,面上项目,A01,23,50471024,E0102,颗粒复合体显微组织演变与力学性能预测结合的计算机模拟基础研究,宗亚平,东北大学,23.0,2005-01至2007-12
2004,面上项目,A01,24,50475002,E050103,空间柔性铰链机构性能改善的理论与实验研究,宗光华,北京航空航天大学,25.0,2005-01至2007-12
2004,面上项目,A01,25,50475009,E050303,汽车前轮电子控制转向的关键技术研究,宗长富,吉林大学,25.0,2005-01至2007-12
2004,面上项目,A01,26,10474011,A040106,光子晶体中的负折射和超透镜成像现象研究,资剑,复旦大学,27.0,2005-01至2007-12
2004,面上项目,A01,27,50478002,E080505,公路斜交桥简化抗震性能设计理论研究,卓卫东,福州大学,20.0,2005-01至2007-12
2004,面上项目,A01,28,20476092,B080803,无配体负载型钯催化的氯代芳烃偶联反应研究,卓广澜,浙江大学,23.0,2005-01至2007-12
2004,面上项目,A01,29,30470289,C0309,高度集约化农业利用下土壤微生物生态退化的分子生物学研究,庄绪亮,中国科学院生态环境研究中心,8.0,2005-01至2005-12
2004,面上项目,A01,30,60478006,F050903,新紫外光晶体材料CNSH的设计、单晶生长与光谱特性研究,庄欣欣,中国科学院福建物质结构研究所,24.0,2005-01至2007-12
2004,面上项目,A01,31,30470009,C010103,中国丛赤壳科和生赤壳科资源与分类研究,庄文颖,中国科学院微生物研究所,20.0,2005-01至2007-12
