year,grant,sub,num,id,subject,title,author,school,money,dueration
2006,面上项目,A01,1,30671947,H1008,胆碱能抗炎通路对类风湿关节炎的影响及其机制研究,左晓霞,中南大学,26,2007-01至2009-12
2006,面上项目,A01,2,30671651,C1604,磷酸法活性炭孔隙结构和表面化学性质调控机理的研究,左宋林,南京林业大学,25,2007-01至2009-12
2006,面上项目,A01,3,50679075,E090105,人水和谐量化方法研究,左其亭,郑州大学,28,2007-01至2009-12
2006,面上项目,A01,4,30670685,C0904,鸣禽鸣啭能力差异的神经生物学基础,左明雪,北京师范大学,30,2007-01至2009-12
2006,面上项目,A01,5,30670865,H0214,血管平滑肌细胞中血管紧张素II1A型受体进入富含Caveolin-1微结构的分子机制研究,左联,中国医学科学院,28,2007-01至2009-12
2006,面上项目,A01,6,40676015,D0601,海洋环流对太平洋海平面季节和年际变化的影响,左军成,中国海洋大学,37,2007-01至2009-12
2006,面上项目,A01,7,40672023,D0202,华南地区寒武系内GSSP点位附近的碳氧同位素组成特征,左景勋,中国科学院南京地质古生物研究所,37,2007-01至2009-12
2006,面上项目,A01,8,50678091,E080402,高活性嗜冷/耐冷产甲烷菌及低温下高效厌氧生物技术的研究,左剑恶,清华大学,30,2007-01至2009-12
2006,面上项目,A01,9,30670196,C020408,拟南芥转录因子OILY1对脂肪酸代谢调控的分子机理研究,左建儒,中国科学院遗传与发育生物学研究所,50,2007-01至2009-12
2006,面上项目,A01,10,30672492,H3106,一类新型非核苷类小分子活性化合物抗乙型肝炎病毒复制作用机制的研究,左建平,中国科学院上海药物研究所,40,2007-01至2009-12
2006,面上项目,A01,11,20673013,B0303,烷氧自由基的分子构型和反应动力学研究,祖莉莉,北京师范大学,33,2007-01至2009-12
2006,面上项目,A01,12,10672034,A020402,海岸破波带大尺度涡研究,邹志利,大连理工大学,32,2007-01至2009-12
2006,面上项目,A01,13,50672016,E0203,金属/陶瓷复合材料界面润湿性的第一性原理分子动力学研究,邹正光,桂林理工大学,29,2007-01至2009-12
2006,面上项目,A01,14,40672177,D0704,条带开采工程岩体非线性动力系统稳定性研究,邹友峰,河南理工大学,39,2007-01至2009-12
2006,面上项目,A01,15,10671082,A011704,分片光滑常微分方程数值计算方法研究,邹永魁,吉林大学,21,2007-01至2009-12
2006,面上项目,A01,16,30672690,H2708,应用脑功能成像对偏瘫后脑功能重塑不同时点针刺效应的研究,邹忆怀,北京中医药大学,26,2007-01至2009-12
2006,面上项目,A01,17,10674128,A040408,组合线形光学器件和腔量子电动力学的量子信息处理,邹旭波,中国科学技术大学,20,2007-01至2009-12
2006,面上项目,A01,18,50677034,E0709,气体中电爆金属丝制备纳米粉体的机制研究,邹晓兵,清华大学,30,2007-01至2009-12
2006,面上项目,A01,19,30671026,C07,细胞周期蛋白依赖性激酶4(Cdk4)在c-Myc相关的B淋巴癌细胞中的作用,邹向宏,首都师范大学,32,2007-01至2009-12
2006,面上项目,A01,20,30671892,H1104,白念珠菌SAP重组蛋白的免疫保护性研究,邹先彪,中国人民解放军总医院,25,2007-01至2009-12
2006,面上项目,A01,21,70673072,G0304,通过消除农村“能力贫困”缩小城乡收入差距的理论模型和数量测度,邹薇,武汉大学,18,2007-01至2009-12
2006,面上项目,A01,22,30671533,C180103,动物乳腺防御系统的免疫生理调节及其机理研究,邹思湘,南京农业大学,30,2007-01至2009-12
2006,面上项目,A01,23,40672212,D0705,水体中典型抗生素的环境行为及其归宿研究,邹世春,中山大学,39,2007-01至2009-12
2006,面上项目,A01,24,30670213,C020604,开口箭抗肿瘤活性成分及资源品质研究,邹坤,三峡大学,8,2007-01至2007-12
2006,面上项目,A01,25,10671002,A010403,奇点理论及其在计算机图形学中的应用,邹建成,北方工业大学,24,2007-01至2009-12
2006,面上项目,A01,26,50671073,E010701,准晶价电子密度的定量CBED研究,邹化民,武汉大学,29,2007-01至2009-12
2006,面上项目,A01,27,60672108,F010201,二维FMmlet变换及其在铁谱图象处理与识别中的应用,邹红星,清华大学,26,2007-01至2009-12
2006,面上项目,A01,28,30670350,C0305,扎龙湿地注水恢复期鸟类群落结构的研究,邹红菲,东北林业大学,22,2007-01至2009-12
2006,面上项目,A01,29,20675081,B04,多肽组学分离分析的新技术和新方法研究,邹汉法,中国科学院大连化学物理研究所,40,2007-01至2009-12
2006,面上项目,A01,30,30670464,C050203,纳豆激酶催化机理及分子进化的研究,邹国林,武汉大学,25,2007-01至2009-12
2006,面上项目,A01,31,50678043,E080101,可拓建筑策划与设计的基本理论及其应用方法研究,邹广天,哈尔滨工业大学,25,2007-01至2009-12
2006,面上项目,A01,32,30670396,C030802,大型海藻对近岸海域富营养化的适应性响应与反馈控制,邹定辉,华南理工大学,30,2007-01至2009-12
2006,面上项目,A01,33,50673003,E030905,炭纳米管改善染料敏化太阳能电池的基础研究,邹德春,北京大学,32,2007-01至2009-12
2006,面上项目,A01,34,30671239,C1507,中国小麦籽粒铁含量分析及其高铁累积的生理和分子机制,邹春琴,中国农业大学,24,2007-01至2009-12
2006,面上项目,A01,35,30670315,C030701,区域生态承载力动态模拟与分析—以上海市崇明县为例,邹春静,华东师范大学,27,2007-01至2009-12
2006,面上项目,A01,36,50675235,E050203,新型锥差液压传动,邹昌平,重庆工商大学,28,2007-01至2009-12
2006,面上项目,A01,37,20673048,B0203,高压下胶束结构和形态的演化规律,邹勃,吉林大学,8,2007-01至2007-12
2006,面上项目,A01,38,60672091,F010304,基于极化干涉合成孔径雷达图像的人造目标检测与识别研究,邹斌,哈尔滨工业大学,25,2007-01至2009-12
