year,grant,sub,num,id,subject,title,author,school,money,dueration
2002,青年科学基金项目,A01,1,70203014,G021101,知识转移推进企业信息化的机制与模式研究,左美云,中国人民大学,10.0,2003-01至2005-12
2002,青年科学基金项目,A01,2,20201006,B01,多核金属有机配合物在先进材料制备中的应用,左景林,南京大学,25.0,2003-01至2005-12
2002,青年科学基金项目,A01,3,10204015,A040107,钴－贵金属膜生长过程和表面重构的扫描隧道显微镜研究,邹志强,上海交通大学,28.5,2003-01至2005-12
2002,青年科学基金项目,A01,4,50206001,E060202,压力梯度流动环境中尾迹与边界层的相互作用,邹正平,北京航空航天大学,23.0,2003-01至2005-12
2002,青年科学基金项目,A01,5,70203008,G04,能力贫困对中国经济增长负面影响的数量测度与理论模型,邹薇,武汉大学,17.0,2003-01至2005-12
2002,青年科学基金项目,A01,6,50207005,E0710,电力电磁兼容问题中智能模型拟合方法研究,邹军,清华大学,20.0,2003-01至2005-12
2002,青年科学基金项目,A01,7,50206006,E060402,湍流扩散燃烧中守恒标量输运、脉动及耗散率的模型研究,邹春,华中科技大学,22.0,2003-01至2005-12
2002,青年科学基金项目,A01,8,30200004,C010302,"黑曲霉1,6-脱水吡喃葡萄糖激酶基因的克隆与表达",庄绪亮,中国科学院生态环境研究中心,18.0,2003-01至2005-12
2002,青年科学基金项目,A01,9,50204002,E0412,碱土金属铝酸盐荧光材料制备中的热力学研究,庄卫东,北京有色金属研究总院,26.0,2003-01至2005-12
2002,青年科学基金项目,A01,10,40205002,D0501,雷暴云中上层放电过程及其物理、化学效应,祝宝友,中国科学技术大学,28.0,2003-01至2005-12
2002,青年科学基金项目,A01,11,20207012,B060104,普通和深色米水稻吸收积累镉的机制及其健康效应,朱永官,中国科学院生态环境研究中心,21.0,2003-01至2005-12
2002,青年科学基金项目,A01,12,30200368,H2718,隔药灸治疗溃疡性结肠炎的疗效评价及凋亡基因调控机理,朱毅,上海市中医药研究院,15.0,2003-01至2005-12
2002,青年科学基金项目,A01,13,30200299,H0427,过继转输父系抗原特异性Anergic T细胞诱导母胎免疫耐受,朱晓勇,复旦大学,20.0,2003-01至2005-12
2002,青年科学基金项目,A01,14,50206014,E060605,低热值燃气无焰燃烧过程中氮氧化物排放特性研究,朱彤,同济大学,25.0,2003-01至2005-12
2002,青年科学基金项目,A01,15,10204008,A040215,几何位相及其在介观系统和量子计算中的应用,朱诗亮,华南师范大学,19.0,2003-01至2005-12
2002,青年科学基金项目,A01,16,70202006,G021101,基于绿色供应链的产品生态设计模型与方法研究,朱庆华,大连理工大学,13.4,2003-01至2005-12
2002,青年科学基金项目,A01,17,30200369,H2902,白藜芦醇联合靶向基因疗法对肝癌的治疗研究,朱青,陕西省人民医院,18.0,2003-01至2005-12
2002,青年科学基金项目,A01,18,50205018,E051002,力反馈虚拟操作理论及在产品开发中的应用,朱利民,上海交通大学,26.0,2003-01至2005-12
2002,青年科学基金项目,A01,19,20204020,B0104,新型功能分子复合材料的设计合成与性能研究,朱凯征,中山大学,7.0,2003-01至2003-12
2002,青年科学基金项目,A01,20,30200313,H1301,腺病毒介导的CTLA4/Met-Eotaxin阻断变应性鼻炎发生及其机理,朱瑾,中国人民解放军第三军医大学,19.0,2003-01至2005-12
2002,青年科学基金项目,A01,21,40205011,D0507,20世纪中国气候变率的模拟研究,朱锦红,北京大学,32.0,2003-01至2005-12
2002,青年科学基金项目,A01,22,30200196,C170104,环氧合酶及前列腺素E合成酶在大鼠卵巢中的表达与调节,朱辉,东北农业大学,8.0,2003-01至2003-12
2002,青年科学基金项目,A01,23,40203007,D0708,水动力作用对沉积物中重金属生物地球化学循环的影响,朱广伟,中国科学院南京地理与湖泊研究所,24.0,2003-01至2005-12
2002,青年科学基金项目,A01,24,50201010,E010503,高抗电蚀的导电铜碲合金有关金属学问题的研究,朱达川,四川大学,28.0,2003-01至2005-12
2002,青年科学基金项目,A01,25,10204020,A040414,特殊子空间中的量子信息过程,周正威,中国科学技术大学,19.0,2003-01至2005-12
2002,青年科学基金项目,A01,26,10205005,A050106,宏观旋转物体等效原理的扭秤方案检验研究,周泽兵,华中科技大学,27.0,2003-01至2005-12
2002,青年科学基金项目,A01,27,40204004,D0407,西太平洋俯冲地区地幔间断面起伏与结构研究,周元泽,中国科学院大学,22.0,2003-01至2005-12
2002,青年科学基金项目,A01,28,30200319,H1402,维生素D诱导人脂肪基质细胞向成骨细胞分化的研究,周永胜,北京大学,20.0,2003-01至2005-12
2002,青年科学基金项目,A01,29,30200233,H2609,甲型流感病毒株系变异规律的生物信息学和分子流行病学研究,周晓明,复旦大学,21.0,2003-01至2005-12
2002,青年科学基金项目,A01,30,30200367,H2712,六味和八味地黄汤作用靶点的血清比较蛋白质组学研究,周文霞,中国人民解放军军事科学院军事医学研究院,20.0,2003-01至2005-12
2002,青年科学基金项目,A01,31,30200304,H0906,早产儿缺血性脑损伤室下区神经干细胞存活和分化研究,周文浩,复旦大学,20.0,2003-01至2005-12
2002,青年科学基金项目,A01,32,30200045,C050201,与信号传导相关的人源Dok-5蛋白的晶体结构测定,周卫红,清华大学,20.0,2003-01至2005-12
2002,青年科学基金项目,A01,33,20206033,B080101,用密度泛函理论研究胶体溶液及其结晶,周世琦,湖南工业大学,25.0,2003-01至2005-12
2002,青年科学基金项目,A01,34,30200028,C040204,天然雌核发育鱼类生殖方式多样性的遗传基础研究,周莉,中国科学院水生生物研究所,23.0,2003-01至2005-12
2002,青年科学基金项目,A01,35,30200102,H0205,肺静脉及周围组织在心房颤动中的作用,周京敏,复旦大学,20.0,2003-01至2005-12
