year,grant,sub,num,id,subject,title,author,school,money,duration
2004,青年科学基金项目,A01,1,30400386,H1910,HPV11全基因组在小鼠上皮组织定向表达的研究,左国伟,中国人民解放军第三军医大学,20.0,2005-01至2007-12
2004,青年科学基金项目,A01,2,30400268,C0601,利用酵母RNA三杂交和叶绿体转化系统分析植物psbA和rbcL基因表达的顺反式调控因子,邹竹荣,华东师范大学,22.0,2005-01至2007-12
2004,青年科学基金项目,A01,3,30400097,C050201,一个新发现的细胞周期素依赖激酶的功能研究,邹嵘,上海人类基因组研究中心,20.0,2005-01至2007-12
2004,青年科学基金项目,A01,4,30400166,H1602,比较基因组学研究RNAi抑制bHLH结构域对hTERT转录调控的影响,邹琳,重庆医科大学,21.0,2005-01至2007-12
2004,青年科学基金项目,A01,5,30400267,C0601,苜蓿植物Ub/26S蛋白降解途径对结瘤的调节功能,邹华松,中国科学院上海生命科学研究院,19.0,2005-01至2007-12
2004,青年科学基金项目,A01,6,20402006,B010301,金属促进下高稳定性有机硼参与的碳碳键形成反应研究,邹刚,华东师范大学,23.0,2005-01至2007-12
2004,青年科学基金项目,A01,7,50406017,E060202,带出气边喷气的多级叶轮机械内部流动和气动噪声问题的研究,竺晓程,上海交通大学,24.0,2005-01至2007-12
2004,青年科学基金项目,A01,8,40401005,D010101,冲积扇发育过程的数值模拟研究,朱忠礼,北京师范大学,30.0,2005-01至2007-12
2004,青年科学基金项目,A01,9,30400311,C170102,人鼠中未检测到同源序列的一个猪中新基因的结构与功能研究,朱正茂,中国农业科学院北京畜牧兽医研究所,20.0,2005-01至2007-12
2004,青年科学基金项目,A01,10,30400098,C050205,硒蛋白P受体的分离、鉴定和功能的研究,朱玉山,中国科学院动物研究所,18.0,2005-01至2007-12
2004,青年科学基金项目,A01,11,30400278,C1303,小麦抽穗后植株氮流动态与籽粒蛋白质积累的无损监测机理,朱艳,南京农业大学,22.0,2005-01至2007-12
2004,青年科学基金项目,A01,12,30400223,C07,Rad基因对血管平滑肌细胞迁移、凋亡的影响及其作用机制,朱小君,北京大学,21.0,2005-01至2007-12
2004,青年科学基金项目,A01,13,30400289,C140102,水稻病程相关蛋白OsPR-4b基因启动子的功能分析,朱廷恒,浙江工业大学,23.0,2005-01至2007-12
2004,青年科学基金项目,A01,14,30400423,H1814,麻醉信息系统中的数据挖掘和决策支持,朱涛,四川大学,20.0,2005-01至2007-12
2004,青年科学基金项目,A01,15,70401009,G0117,多阶段投资组合管理中几个问题的研究,朱书尚,复旦大学,13.0,2005-01至2007-12
2004,青年科学基金项目,A01,16,40406001,D0611,南极法尔兹半岛苔原氧化亚氮的源与汇,朱仁斌,中国科学技术大学,28.0,2005-01至2007-12
2004,青年科学基金项目,A01,17,20404006,B010401,功能聚硅氧烷聚合物微球的构筑、性能与应用研究,朱庆增,山东大学,23.0,2005-01至2007-12
2004,青年科学基金项目,A01,18,20406023,B081005,固体氧化物燃料电池密封材料设计及其反应性研究,朱庆山,中国科学院过程工程研究所,22.0,2005-01至2007-12
2004,青年科学基金项目,A01,19,30400549,H3101,线粒体ATP敏感钾通道作为脑缺血缺氧损伤治疗新途径的研究,朱庆磊,中国人民解放军总医院,17.0,2005-01至2007-12
2004,青年科学基金项目,A01,20,30400480,H0420,妊娠高血压综合征相关基因寡核苷酸微阵列的研制,朱前勇,中国人民解放军第三军医大学,21.0,2005-01至2007-12
2004,青年科学基金项目,A01,21,60408010,F0506,超短激光光谱的任意整形研究,朱鹏飞,上海交通大学,17.0,2005-01至2007-12
2004,青年科学基金项目,A01,22,30400607,H2711,从卵泡凋亡的调节机制探讨左归丸治疗免疫性卵巢早衰的作用机理,朱玲,广州中医药大学,21.0,2005-01至2007-12
2004,青年科学基金项目,A01,23,30400360,H2607,小鼠腭裂相关新基因功能的研究,朱江波,中国人民解放军第二军医大学,20.0,2005-01至2007-12
2004,青年科学基金项目,A01,24,30400210,H0511,治疗性血管新生干预慢性缺血性肾损伤的作用研究,朱加明,复旦大学,21.0,2005-01至2007-12
2004,青年科学基金项目,A01,25,20403011,B0301,HRgY型化合物构型及振转光谱的溶剂化效应的理论研究,朱华,四川大学,20.0,2005-01至2007-12
2004,青年科学基金项目,A01,26,30400146,H0912,AP3M2基因敲除鼠的癫痫性痉挛发作机制的研究,朱刚,中国医科大学,21.0,2005-01至2007-12
2004,青年科学基金项目,A01,27,10402023,A020308,基于纳米压痕仪技术和MEMS技术对微纳米厚度金属薄膜力学特性的研究,周志敏,上海交通大学,23.0,2005-01至2007-12
2004,青年科学基金项目,A01,28,20402024,B070102,马齿苋抗老年痴呆活性成分研究,周耘,中国人民解放军第二军医大学,21.0,2005-01至2007-12
