year,grant,sub,num,id,subject,title,author,school,money,dueration
2016,应急管理项目,A01,1,81641160,H0902,神经炎症抑制神经细胞生成在远期术后认知功能障碍发生中的作用和机制,左志义,中山大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,2,21643016,B050401,有机热电掺杂体系能级结构研究,邹业,中国科学院化学研究所,10.0,2017-01至2017-12
2016,应急管理项目,A01,3,81641172,H0605,基于Zip1/NPY通路调控MSCs成骨向分化探讨褪黑素促进骨折愈合的作用及分子机制,訾英,锦州医科大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,4,51642505,E050302,第29届状态监测与诊断工程管理国际会议,訾艳阳,西安交通大学,8.0,2016-03至2016-12
2016,应急管理项目,A01,5,21643402,B0204,电化学前沿北京论坛,庄林,武汉大学,20.0,2016-12至2016-12
2016,应急管理项目,A01,6,31640088,C190604,柱状黄杆菌基因转移系统及菌蜕疫苗研究,祝文兴,齐鲁工业大学,15.0,2017-01至2017-12
2016,应急管理项目,A01,7,61640212,F02,文本语义透镜与知识共享研究,诸葛海,中国科学院计算技术研究所,16.0,2017-01至2017-12
2016,应急管理项目,A01,8,51642606,E0602,2016全国流体机械青年学术研讨会暨亚欧五国青年学者交流会,朱祖超,浙江理工大学,10.0,2016-05至2016-12
2016,应急管理项目,A01,9,21647401,B06,2016北京论坛：化学污染物环境过程与风险,朱永官,中国科学院城市环境研究所,20.0,2016-10至2016-12
2016,应急管理项目,A01,10,11642021,A020301,多滑移系统中位错局部自锁微结构动力学演化的宏观建模与计算,朱一超,大连理工大学,16.0,2017-01至2017-12
2016,应急管理项目,A01,11,71641020,G03,创新能力发展的脑认知机制及教育政策研究,朱艳梅,东南大学,16.0,2016-06至2017-05
2016,应急管理项目,A01,12,11647137,A05,基于强子输运模型对LHC能区质子-质子碰撞中集体效应的研究,朱祥荣,湖州师范学院,5.0,2017-01至2017-12
2016,应急管理项目,A01,13,L1624005,Z01,农业科学发展态势评估研究：2006-2015年,朱相丽,中国科学院文献情报中心,40.0,2017-01至2018-12
2016,应急管理项目,A01,14,11642017,A0202,随机动力学高级讲习班,朱位秋,浙江大学,18.0,2017-05至2017-06
2016,应急管理项目,A01,15,81641083,H0603,miR-let-7a介导ACPAs活化巨噬细胞促进类风湿性关节炎病情发展研究,朱伟,牡丹江医学院,10.0,2017-01至2017-12
2016,应急管理项目,A01,16,11647047,A05,蓝磷烯与金属接触界面对电输运影响理论研究,朱思聪,武汉科技大学,5.0,2017-01至2017-12
2016,应急管理项目,A01,17,11647163,A05,Bc介子到S波和P波粲夸克偶素形状因子的相对论修正,朱瑞林,南京师范大学,5.0,2017-01至2017-12
2016,应急管理项目,A01,18,11641003,A01,《国家自然科学基金委员会“十三五”学科发展战略报告？数理科学》图书出版,朱萍萍,中国科技出版传媒股份有限公司,10.12,2016-11至2016-12
2016,应急管理项目,A01,19,81641077,H2101,高原低氧环境中NR3A对大鼠学习记忆能力的影响,朱敏侠,西藏民族大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,20,21644005,B0106,通过螺旋自组装调控π-功能体系的光化学与光物理性质,朱亮亮,复旦大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,21,81641089,H1502,新细胞因子FAM19A4在脓毒症中的表达、功能和临床相关性研究,朱凤雪,北京大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,22,L1624045,Z01,面向2035的中国工程科技发展路线图绘制理论与方法研究,周源,清华大学,60.0,2017-01至2018-12
2016,应急管理项目,A01,23,11647117,A05,石墨烯光子晶体中包含非局域效应的能带结构研究,周昱,杭州电子科技大学,5.0,2017-01至2017-12
2016,应急管理项目,A01,24,61640018,F012501,超声影像下形态鲁棒的肌束长度自动测量研究,周永进,深圳大学,16.0,2017-01至2017-12
2016,应急管理项目,A01,25,81641027,H0704,BIG3在急性糖毒性减损胰岛素颗粒储备中的作用机制研究,周迎生,首都医科大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,26,61640419,F050209,相移电控制取样光栅半导体激光器及其波长可调机制研究,周亚亭,常州工学院,16.0,2017-01至2017-12
2016,应急管理项目,A01,27,L1624048,Z01,工程科技发展战略研究知识体系与支持系统,周晓纪,中国航天系统科学与工程研究院,90.0,2017-01至2018-12
2016,应急管理项目,A01,28,11647016,A05,暗物质候选者在膜世界上局域化的研究,周祥楠,山西师范大学,5.0,2017-01至2017-12
2016,应急管理项目,A01,29,51642512,E05,NSFC机械工程学科青年/地区科学基金项目资助情况调研与分析,周伟,厦门大学,10.0,2016-09至2017-02
2016,应急管理项目,A01,30,11647133,A05,氦在钨晶界处的扩散机理和聚集行为的理论研究,周望怀,湖北汽车工业学院,5.0,2017-01至2017-12
2016,应急管理项目,A01,31,81641185,H3008,ALN/HA修饰骨靶向胶束抗溶骨性骨转移瘤与抑制骨重吸收的协同作用及机制研究,周四元,中国人民解放军第四军医大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,32,71640034,G0110,移动应用用户体验质量感知及使用决策的认知加工过程研究,周荣刚,北京航空航天大学,19.0,2017-01至2018-12
2016,应急管理项目,A01,33,71640027,G0206,环境规制、企业家行为与企业内部环境绩效审计研究-以内蒙古资源型企业为例,周冉,内蒙古大学,19.0,2017-01至2018-12
2016,应急管理项目,A01,34,L1624022,Z01,基因编辑发展战略研究,周琪,中国科学院动物研究所,50.0,2017-01至2018-12
2016,应急管理项目,A01,35,81641058,H2501,TRPA1调控线粒体UCP2在衰老相关血管内皮功能障碍中的作用及机制,周鹏,成都医学院,10.0,2017-01至2017-12
2016,应急管理项目,A01,36,61650207,F020207,基于混杂系统推理理论的嵌入式系统验证与分析,周宁,兰州交通大学,11.0,2017-01至2017-12
2016,应急管理项目,A01,37,81641132,H3105,TRAF6的RING-Zn结构域为抗癌药物新靶点的确认与分子机制研究,周立军,天津大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,38,31640052,C0707,Nek7通过Nlrp3途径调控肝癌炎症微环境及其生物学特性的分子机制研究,周磊,滨州医学院,15.0,2017-01至2017-12
2016,应急管理项目,A01,39,61640218,F020509,基于点对点网络架构的分布式协同数据聚类的关键技术研究,周劲,济南大学,16.0,2017-01至2017-12
2016,应急管理项目,A01,40,11647111,A05,拓扑量子态中准粒子激发的理论研究,周江,贵州大学,5.0,2017-01至2017-12
2016,应急管理项目,A01,41,J1624006,J0202,NSFC-云南联合基金实施情况的总结分析,周建军,云南大学,15.0,2016-07至2017-12
2016,应急管理项目,A01,42,81650028,H0726,机械刺激在骨细胞中通过Stat3调控成骨抑制蛋白Sclerostin的作用机制研究,周弘康,中南大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,43,31640048,C060605,微小RNA招募甲基化组蛋白通过多个启动子调控CD2AP转录的机制,周国平,南京医科大学,15.0,2017-01至2017-12
2016,应急管理项目,A01,44,11647022,A05,SCET因子化中Glauber胶子效应的研究,周高亮,西安科技大学,5.0,2017-01至2017-12
2016,应急管理项目,A01,45,81641165,H0415,脂肪干细胞3D微组织改善糖尿病勃起功能障碍神经病变的作用及其机制研究,周峰,苏州大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,46,61640401,F040603,温度对HgCdTe红外探测器辐射感生缺陷演化过程的影响机制,周东,中国科学院新疆理化技术研究所,7.0,2017-01至2017-12
2016,应急管理项目,A01,47,11647136,A05,腔QED系统中激发相位引起的量子干涉和暗态的研究,周春晓,湖南文理学院,5.0,2017-01至2017-12
2016,应急管理项目,A01,48,71641023,G03,发展规划中重大工程项目实施评估的理论方法、指标体系与案例研究,周城雄,中国科学院科技战略咨询研究院,16.0,2016-12至2017-11
2016,应急管理项目,A01,49,81641116,H1610,再生胰岛衍生蛋白3β及其调控巨噬细胞募集在放射性心脏损伤中的作用和机制研究,钟亚华,武汉大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,50,21641008,B0102,基于配位聚合物为前驱体超高压高温制备稀土发光材料的研究,钟声亮,江西师范大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,51,51642511,E05,先进制造科学基础与前沿发展研究,钟掘,中南大学,15.0,2016-08至2016-12
2016,应急管理项目,A01,52,11642014,A0206,第二届全国爆炸与冲击动力学青年学者学术研讨会,郑志军,中国科学技术大学,8.0,2017-10至2017-11
2016,应急管理项目,A01,53,11654002,A040403,用于引力波探测的音频段压缩真空态的实验制备,郑耀辉,山西大学,400.0,2017-01至2021-12
2016,应急管理项目,A01,54,11642018,A02,2016国际华人计算力学大会,郑耀,浙江大学,8.0,2016-10至2016-12
2016,应急管理项目,A01,55,41641033,D0709,土壤异化铁还原过程中有机碳及微生物耦合作用机制,郑艳梅,厦门大学,20.0,2017-01至2017-12
2016,应急管理项目,A01,56,71641008,G03,创新型国家建设的人才战略及其教育对策研究,郑晓齐,北京航空航天大学,24.0,2016-06至2017-05
2016,应急管理项目,A01,57,11643004,A03,中国天文学会2016学术年会,郑小平,华中师范大学,8.0,2016-11至2016-12
2016,应急管理项目,A01,58,J1624007,J0202,科学基金项目成果转化数据分析与政策研究,郑石明,华南理工大学,30.0,2016-07至2017-12
2016,应急管理项目,A01,59,71641014,G03,促进教育创新的终身教育政策研究,郑勤华,北京师范大学,16.0,2016-06至2017-05
2016,应急管理项目,A01,60,21646016,B080803,线粒体靶向内源性甲醛比率荧光探针构建及其在肿瘤中的成像研究,郑开波,三峡大学,10.0,2017-01至2017-12
2016,应急管理项目,A01,61,11647007,A05,二维锂电负极材料MXenes的结构设计，Li+嵌入特性和迁移机制的研究,郑宝兵,宝鸡文理学院,5.0,2017-01至2017-12
