year,grant,sub,num,id,subject,title,author,school,money,duration
2014,应急管理项目,A01,1,11447008,A05,拓扑强关联物质和超导体复合系统的输运性质,左正伟,河南科技大学,20.0,2015-01至2017-12
2014,应急管理项目,A01,2,11447201,A05,基于DNA物理几何结构柔性的基因组启动子区DNA调控元件的研究,左永春,内蒙古大学,5.0,2015-01至2015-12
2014,应急管理项目,A01,3,11445001,A050202,利用全息对偶对强子性质的研究,左芬,华中科技大学,18.0,2014-01至2014-12
2014,应急管理项目,A01,4,11447032,A05,B介子非轻弱衰变的唯象学研究,邹芝田,烟台大学,20.0,2015-01至2017-12
2014,应急管理项目,A01,5,11447105,A05,非阿贝尔规范理论中的新孤子解研究,邹丽平,中国科学院近代物理研究所,5.0,2015-01至2015-12
2014,应急管理项目,A01,6,51478489,E080502,外加劲肋加固圆钢管节点轴向承载力试验及设计方法研究,祝磊,北京建筑大学,15.0,2015-01至2015-12
2014,应急管理项目,A01,7,11447125,A050611,高能量密度等离子体中波传播特性的研究,祝俊,山西大学,6.0,2015-01至2015-12
2014,应急管理项目,A01,8,21446003,B080303,基于介孔TNU-9分子筛的苯-甲醇烷基化催化剂构筑与择形机制研究,朱学栋,华东理工大学,10.0,2015-01至2015-12
2014,应急管理项目,A01,9,21441008,B010503,金属有机骨架材料的后合成修饰及其荧光传感性能研究,朱贤东,安徽工程大学,10.0,2015-01至2015-12
2014,应急管理项目,A01,10,11442006,A0202,一维时变非线性连续系统的动态响应和稳定性分析,朱伟东,哈尔滨工业大学,40.0,2015-01至2017-12
2014,应急管理项目,A01,11,21442013,B010301,新型串联吡唑基多杂环系列化合物的合成,朱万仁,玉林师范学院,10.0,2015-01至2015-12
2014,应急管理项目,A01,12,81441024,H1202,β-晶状体蛋白聚集和寡聚体动态平衡在先天性白内障发病中的作用,朱思泉,首都医科大学,10.0,2015-01至2015-12
2014,应急管理项目,A01,13,11447017,A05,几类随机非线性波方程的高性能数值算法及其应用研究,朱泉涌,丽水学院,21.0,2015-01至2017-12
2014,应急管理项目,A01,14,81450013,H1601,HPV16 variants在维吾尔族宫颈癌中的分布及其对病变进展影响的研究,朱开春,新疆维吾尔自治区人民医院,10.0,2015-01至2015-12
2014,应急管理项目,A01,15,51446002,E06,地下环形受限空间火羽流运动机理研究,朱杰,四川师范大学,10.0,2015-01至2015-12
2014,应急管理项目,A01,16,21442006,B0106,醌类化合物/环糊精超分子体系的制备、性质及活性研究,朱洪友,云南大学,10.0,2015-01至2015-12
2014,应急管理项目,A01,17,81441054,H1816,生物可降解药物涂层胆道支架治疗良性胆道狭窄的实验研究,朱海东,东南大学,10.0,2015-01至2015-12
2014,应急管理项目,A01,18,11447145,A05,硅烯中电子热电输运性质的研究,朱国宝,菏泽学院,5.0,2015-01至2015-12
2014,应急管理项目,A01,19,81441065,H1905,肺炎支原体LAMPs通过Mal磷酸化途径激活HO-1和NQO1的分子机制及其对炎症的负向调节,朱翠明,南华大学,10.0,2015-01至2015-12
2014,应急管理项目,A01,20,41450007,D0708,钙对碳、氮、水耦合循环的调控效应与生理生态机制,周永斌,沈阳农业大学,20.0,2015-01至2015-12
2014,应急管理项目,A01,21,31440015,C14,植物保护学学科发展战略和优先发展领域研究,周雪平,中国农业科学院植物保护研究所,6.0,2014-08至2015-07
2014,应急管理项目,A01,22,11447179,A05,基于Landau-de Gennes理论电场诱导向列相缺陷有序重构的研究,周璇,河北工业大学,5.0,2015-01至2015-12
2014,应急管理项目,A01,23,11445004,A050103,人工量子系统物理及其应用暑期学校,周小清,吉首大学,20.0,2015-01至2015-12
2014,应急管理项目,A01,24,41446006,D0609,南海高效金属磷酸盐沉淀细菌的筛选、多样性与调控机制研究,周维芝,山东大学,20.0,2015-01至2015-12
2014,应急管理项目,A01,25,31440012,C12,发育生物学与生殖生物学学科发展战略和优先发展领域研究,周琪,中国科学院动物研究所,6.0,2014-08至2015-07
