year,grant,sub,num,id,subject,title,author,school,money,dueration
2015,应急管理项目,A01,1,81541166,H2814,基于新型T细胞Th9/IL-9研究黄芩苷在溃疡性结肠炎肠道黏膜修复中的作用机制,邹颖,广东医科大学,10.0,2016-01至2016-12
2015,应急管理项目,A01,2,71540011,G031203,碳排放约束下我国核电生产效率及影响因素研究,邹树梁,南华大学,12.0,2016-01至2016-12
2015,应急管理项目,A01,3,71550004,G01,一般知识系统论出版资助,邹聪,中国科技出版传媒股份有限公司,8.0,2016-01至2016-12
2015,应急管理项目,A01,4,51542506,E05,机器人领域基础研究资助分析与发展战略研究,宗光华,北京航空航天大学,15.0,2016-01至2016-12
2015,应急管理项目,A01,5,61540064,F020507,基于用户偏好模型的海量中文书法字图像多模态个性化查询关键技术研究,庄毅,浙江工商大学,16.0,2016-01至2016-12
2015,应急管理项目,A01,6,11547012,A050105,细胞环境中RNA假结动力学与热力学性质的理论研究,祝宇红,杭州师范大学,20.0,2016-01至2018-12
2015,应急管理项目,A01,7,51541107,E0110,热喷涂TiB2基金属陶瓷复合涂层的组织演变控制及磨损失效机制研究,祝弘滨,北京矿冶研究总院,10.0,2016-01至2016-12
2015,应急管理项目,A01,8,21544005,B0502,超高负载量高分子颗粒的瞬时纳米沉淀法制备和尺度稳定性增强,朱正曦,扬州大学,10.0,2016-01至2016-12
2015,应急管理项目,A01,9,11547212,A05,自旋-轨道耦合玻色-爱因斯坦凝聚体中光学格子和混合塞曼-光学格子支持的带隙孤子的研究,朱兴,广东第二师范学院,5.0,2016-01至2016-12
2015,应急管理项目,A01,10,21546015,B081005,过渡金属氧化物的分级有序自组装：三元异质纳米结构的设计及其协同储锂机制研究,朱晓东,哈尔滨工业大学,10.0,2016-01至2016-12
2015,应急管理项目,A01,11,81541153,H1603,分子伴侣GRP78磷酸化修饰动态招募LSD1促进H3K9去甲基化调控肿瘤发生的新机制研究-以肝癌为例,朱萧,广东医科大学,10.0,2016-01至2016-12
2015,应急管理项目,A01,12,81541008,H0212,Bcl2抑凋亡蛋白3(BAG3)在缺血性心肌病中作用,朱卫忠,南通大学,10.0,2016-01至2016-12
2015,应急管理项目,A01,13,11547103,A050204,新物理模型Higgs相关过程中的干涉效应研究,朱经亚,武汉大学,6.0,2016-01至2016-12
2015,应急管理项目,A01,14,31540085,C200301,高产nisin乳酸乳球菌F44中丙酮酸代谢重构及定量分析,朱宏吉,天津大学,15.0,2016-01至2016-12
2015,应急管理项目,A01,15,61540073,F050404,高度择优取向氧化铟锡（ITO)薄膜的粉末靶材溅射制备及红外隐身性能调控,朱归胜,桂林电子科技大学,7.0,2016-01至2016-12
2015,应急管理项目,A01,16,11547125,A05,超冷玻色原子在光晶格中的动力学及其相干控制,周政,湖南工学院,5.0,2016-01至2016-12
2015,应急管理项目,A01,17,51541608,E060603,起伏式振动状态下气-液两相流型及流动特性参数检测研究,周云龙,东北电力大学,15.0,2016-01至2016-12
2015,应急管理项目,A01,18,11547048,A05,多铁性材料的磁电滞后行为的关联物性及外场调制研究,周云,中国计量大学,22.0,2016-01至2018-12
2015,应急管理项目,A01,19,L1524015,Z01,2035发展战略文献计量与专利分析方法研究,周源,清华大学,30.0,2016-01至2017-12
2015,应急管理项目,A01,20,21541003,B050101,高效敏化型ZnO/TiO2复合介孔超结构阵列的结构调控及性能研究,周艺,长沙理工大学,10.0,2016-01至2016-12
2015,应急管理项目,A01,21,61540025,F012405,基于复合体结构预测的全基因组RNA结合蛋白发现新方法及其应用,周耀旗,德州学院,20.0,2016-01至2016-12
2015,应急管理项目,A01,22,11547049,A05,高对称金属氧化物纳米晶与贵金属纳米晶的对称破缺形成机理,周妍,中国科学院兰州化学物理研究所,23.0,2016-01至2018-12
2015,应急管理项目,A01,23,81541010,H0214,Liddle综合征上皮钠通道γ亚单位基因新突变的致病分子机制研究,周宪梁,中国医学科学院阜外医院,10.0,2016-01至2016-12
2015,应急管理项目,A01,24,81541030,H0906,p38/DJ-1介导蛛网膜下腔出血早期脑损伤后mitophagy的分子机制研究,周文科,新乡医学院,10.0,2016-01至2016-12
