year,grant,sub,num,id,subject,title,author,school,money,duration
2012,优秀青年科学基金项目,A01,1,51222501,E050202,液压系统空化,邹俊,浙江大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,2,21222607,B0810,光催化过程及应用,邹吉军,天津大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,3,81222025,H1908,病原微生物感染与耐药,宗志勇,四川大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,4,51222406,E0407,油气井管柱力学与井下工具,祝效华,西南石油大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,5,51222401,E0409,深部围岩损伤演化及失稳破裂的机理研究,朱万成,东北大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,6,21222205,B010305,过渡金属催化的有机合成化学,朱守非,南开大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,7,31222009,C030101,分子生态学,朱立峰,南京师范大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,8,51222205,E0206,碳素材料与超硬材料,朱嘉琦,哈尔滨工业大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,9,81222031,H1604,肿瘤免疫,朱波,中国人民解放军第三军医大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,10,31222027,C2117,学习记忆的神经生物学基础,周宇,青岛大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,11,11222543,A050105,统计物理与信息科学交叉研究,周涛,电子科技大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,12,41222006,D070104,土壤生物学,周顺桂,广东省生态环境技术研究所,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,13,81222040,H1010,固有免疫识别、信号转导及疾病相关性,周荣斌,中国科学技术大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,14,11222222,A020401,流体力学,周全,上海大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,15,21222204,B010305,不对称催化,周剑,华东师范大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,16,81222042,H30,药物化学和化学生物学,周虎臣,上海交通大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,17,81222030,H1602,肿瘤发生生物学,周大旺,厦门大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,18,31222038,C120106,心脏发育与再生,周斌,中国科学院上海生命科学研究院,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,19,51222511,E05,人类牙齿的生物摩擦学研究,郑靖,西南交通大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,20,21222309,B020301,物理化学,赵勇,北京航空航天大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,21,81222028,H1602,细胞自噬在肿瘤发生中的作用,赵颖,北京大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,22,51222802,E0804,环境工程,赵旭,中国科学院生态环境研究中心,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,23,41222026,D0709,纳米材料的环境地球化学行为研究,赵晓丽,中国环境科学研究院,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,24,21222503,B04,分析化学,赵强,中国科学院生态环境研究中心,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,25,51222809,E080802,桥梁风工程,赵林,同济大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,26,61222407,F040803,超快光谱在自旋动力学中的应用,赵海斌,复旦大学,100,2013-01至2015-12
2012,优秀青年科学基金项目,A01,27,11222325,A030102,宇宙结构的形成与演化,赵东海,中国科学院上海天文台,100,2013-01至2015-12
