year,grant,sub,num,id,subject,title,author,school,money,dueration
2015,优秀青年科学基金项目,A01,1,41522206,D0213,数学地质,左仁广,中国地质大学（武汉）,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,2,61522109,F010207,认知与协作无线网络,邹玉龙,南京邮电大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,3,51522902,E091001,非线性水波及其与海洋结构物的相互作用,邹丽,大连理工大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,4,11522102,A010504,函数空间与非光滑分析,周渊,北京航空航天大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,5,31522004,C0108,昆虫病毒学,周溪,武汉大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,6,41522104,D010202,城市时空行为与交通,周素红,中山大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,7,41522405,D0410,磁场重联,周猛,南昌大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,8,31522022,C100103,血流动力学与血管稳态,周菁,北京大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,9,41522501,D0503,地气相互作用与卫星遥感应用,仲雷,中国科学技术大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,10,61522115,F011602,图像特征提取、识别与行为信息处理,郑伟诗,中山大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,11,11522105,A011102,数理统计,郑术蓉,东北师范大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,12,21522310,B0305,固体核磁共振波谱学,郑安民,中国科学院武汉物理与数学研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,13,51522302,E0310,微纳结构生物材料,赵远锦,东南大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,14,31522044,C2006,新型物理场食品加工基础,赵伟,江南大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,15,31522008,C020409,植物次生代谢,赵乔,清华大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,16,81522023,H1822,心血管生物材料,赵强,南开大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,17,51522308,E03,高分子表面与界面,赵宁,中国科学院化学研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,18,81522038,H1103,自身免疫性皮肤病的表观遗传学研究,赵明,中南大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,19,31522057,C1805,兽医传染病学,赵凌,华中农业大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,20,21522206,B0106,有机超分子化学,赵亮,清华大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,21,61522304,F0302,流程工业能源系统基于数据的预测与优化调度,赵珺,大连理工大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,22,51522603,E060403,煤的化学链燃烧,赵海波,华中科技大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,23,31522013,C160502,树木抗逆生理生态,赵长明,兰州大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,24,21522105,B010503,多孔框架材料,章跃标,上海科技大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,25,81522045,H31,神经药理,章海燕,中国科学院上海药物研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,26,21522306,B020106,光催化,章福祥,中国科学院大连化学物理研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,27,51522401,E0419,工业固废高效清洁利用基础与应用,张作泰,南方科技大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,28,21522404,B030704,高分子胶体玻璃,张泽新,苏州大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,29,51522202,E02,无机储能材料,张瑜,北京航空航天大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,30,61522503,F05,光学与光电子学,张永来,吉林大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,31,81522004,H02,代谢异常心肌损伤和保护研究,张英梅,复旦大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,32,21522101,B01,有机-无机杂化的分子基铁电块材和薄膜材料,张毅,东南大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,33,71522005,G0205,领导学与团队动力学研究,张燕,北京大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,34,31522002,C0103,微生物遗传育种,张学礼,中国科学院天津工业生物技术研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,35,21522606,B0811,环境化工,张兴旺,浙江大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,36,11522540,A050106,暗能量与修改引力,张鑫,东北大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,37,71522004,G0113,计量经济模型平均的理论与应用研究,张新雨,中国科学院数学与系统科学研究院,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,38,31522023,C1002,生物材料,张欣,中国科学院过程工程研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,39,81522048,H3111,药物基因组学,张伟,中南大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,40,11522436,A040307,超冷原子气体中的新奇量子现象,张威,中国人民大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,41,11522430,A0402,低维复杂量子材料的扫描隧道显微学研究,张童,复旦大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,42,81522039,H2201,辐射损伤机理与救治,张舒羽,苏州大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,43,21522702,B060202,水污染控制化学,张淑娟,南京大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,44,41522603,D0609,海洋病毒生态学,张锐,厦门大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,45,21522509,B0402,脑缺血分子机制的电分析化学基础研究,张美宁,中国人民大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,46,51522405,E0418,微波冶金,张利波,昆明理工大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,47,51522404,E041607,新材料及异种材料连接,张丽霞,哈尔滨工业大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,48,61522501,F0503,融合光接入技术,张丽佳,北京邮电大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,49,81522016,H0912,阿尔茨海默病的致病机制研究,张杰,厦门大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,50,51522103,E010302,贵金属纳米晶,张辉,浙江大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,51,41522602,D0603,海洋岩石学与地幔地球化学,张国良,中国科学院海洋研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,52,81522010,H0510,足细胞损伤机制,张春,华中科技大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,53,31522052,C0404,保护基因组学,詹祥江,中国科学院动物研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,54,31522053,C0405,鳞翅目昆虫迁飞的遗传学研究,詹帅,中国科学院上海生命科学研究院,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,55,51522105,E010501,柔性磁性薄膜与器件,詹清峰,华东师范大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,56,41522204,D0212,青藏高原区域构造与大地构造,翟庆国,中国地质科学院地质研究所,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,57,41522304,D0709,新型污染物环境化学行为,曾力希,暨南大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,58,71522012,G030202,资本市场管理,袁宇,上海交通大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,59,61522308,F030403,稀疏学习与图像识别,袁晓彤,南京信息工程大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,60,41522208,D0705,地下环境有害物质迁移转化与修复机理,袁松虎,中国地质大学（武汉）,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,61,81522027,H1906,病原寄生虫学,袁晶,厦门大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,62,21522507,B040303,基于质谱技术的核酸修饰研究,袁必锋,武汉大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,63,11522111,A010801,几何、物理和力学中的偏微分方程,于品,清华大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,64,21522601,B080901,纳米碳材料合成及表/界面调控方法,于畅,大连理工大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,65,21522705,B0601,环境污染化学,阴永光,中国科学院生态环境研究中心,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,66,11522545,A050103,超冷原子量子仿真,易为,中国科学技术大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,67,21522201,B0702,化学生物学,伊成器,北京大学,130,2016-01至2018-12
2015,优秀青年科学基金项目,A01,68,81522017,H2501,端粒细胞衰老和组织退行性病变,叶静,上海交通大学,130,2016-01至2018-12
