year,grant,sub,num,id,subject,title,author,school,money,duration
2002,重大项目,A01,1,10299042,D0408,软流层及岩石圈中高导低速带的物性研究,周文戈,中国科学院地球化学研究所,76.0,2001-01至2006-03
2002,重大项目,A01,2,20299032,F010902,微型阀、泵、与控温反应器及其集成化技术的研究,赵湛,中国科学院电子学研究所,84.0,2001-10至2005-10
2002,重大项目,A01,3,10299025,A050501,光阴极微波电子枪总调条件和总调,赵明华,中国科学院上海应用物理研究所,40.0,2002-05至2008-12
2002,重大项目,A01,4,20299031,B04,微流控高效试样引入前处理,殷学锋,浙江大学,146.5,2001-10至2005-10
2002,重大项目,A01,5,20299039,B04,微流控生物化学分析系统的基础研究,杨秀荣,中国科学院长春应用化学研究所,65.5,2002-05至2005-12
2002,重大项目,A01,6,20299038,B04,微流控芯片分离生物质谱分析系统的研究,杨芃原,复旦大学,56.5,2002-05至2005-12
2002,重大项目,A01,7,20299033,A020402,微流控分析系统扩散与液体力学的基础研究,夏兴华,南京大学,69.0,2001-10至2005-10
2002,重大项目,A01,8,10299041,A020102,地球内部不连续界面物质流变学研究,伍向阳,中国科学院地质与地球物理研究所,80.0,2001-01至2006-03
2002,重大项目,A01,9,20299034,B04,微流控系统中的细胞操纵及其系生化组分分化方法研究,庞代文,武汉大学,64.5,2002-05至2005-12
2002,重大项目,A01,10,20299036,B04,微流控芯片中生物样品的高效高分辨分离研究,罗国安,清华大学,58.5,2002-05至2005-12
2002,重大项目,A01,11,10299021,A050501,DUV-FEL关键部件-光阴极及激光系统的研究,鲁向阳,北京大学,10.0,2002-05至2008-12
2002,重大项目,A01,12,20299035,B0407,微全分析系统中的微分离研究,林炳承,中国科学院大连化学物理研究所,38.0,2002-05至2005-12
2002,重大项目,A01,13,10299044,A020102,核-幔界面物质的状态方程和高压熔化特性研究,经福谦,中国工程物理研究院,37.0,2001-01至2006-03
2002,重大项目,A01,14,10299040,A020102,地球内部几个重要界面物质的高温高压物性研究,经福谦,中国工程物理研究院,500.0,2001-01至2006-03
2002,重大项目,A01,15,10299023,A05,高增益相干谐波自由电子激光基本物理问题研究,何多慧,中国科学技术大学,60.0,2001-01至2008-12
2002,重大项目,A01,16,10299020,A05,深紫外自由电子激光关键技术研究,何多慧,中国科学技术大学,600.0,2002-05至2008-12
2002,重大项目,A01,17,20299030,B04,微流控生物化学分析系统的基础研究,方肇伦,浙江大学,700.0,2001-10至2005-10
2002,重大项目,A01,18,20299037,B04,微流控光学检测系统的研究,范世华,东北大学,68.5,2002-05至2005-12
2002,重大项目,A01,19,10299045,D0408,高温高压下流体与岩石相互作用及其对岩石圈结构的影响,杜建国,中国地震局地震预测研究所,80.0,2001-01至2006-03
2002,重大项目,A01,20,10299046,A020102,地核物质状态方程研究,单玉生,中国原子能科学研究院,60.0,2001-01至2006-03
2002,重大项目,A01,21,10299022,A050502,光阴极微波腔的研制和总体实验,戴建枰,中国科学院高能物理研究所,25.0,2002-05至2008-12
2002,重大项目,A01,22,10299043,A020102,地幔过渡带的矿物相变及其物性研究,崔岩良,吉林大学,80.0,2001-01至2006-03
2002,重大项目,A01,23,10299024,A050501,DUV-FEL关键部件－驱动激光系统的研究与研制,陈敏,中国科学院上海应用物理研究所,150.0,2002-05至2008-12
