year,grant,sub,num,id,subject,title,author,school,money,dueration
2017,重大项目,A01,1,51790522,E0708,快Z箍缩负载动态行为演变及剩余能量耗散规律,邹晓兵,清华大学,325.0,2018-01至2022-12
2017,重大项目,A01,2,51790171,E0508,高性能构件材料-结构一体化设计方法,朱继宏,西北工业大学,218.0,2018-01至2022-12
2017,重大项目,A01,3,21790394,B04,帕金森综合症相关分子机制的研究与探索,周专,北京大学,420.0,2018-01至2022-12
2017,重大项目,A01,4,21790332,B010301,含碳不饱和键的高效氢化,周其林,南开大学,595.0,2018-01至2022-12
2017,重大项目,A01,5,21790330,B010301,面向精细化学品高效合成的均相催化氧化还原过程,周其林,南开大学,1676.4,2018-01至2022-12
2017,重大项目,A01,6,81790254,H1602,探索肿瘤微环境中的代谢波动对炎症和肿瘤免疫的影响和机制,周大旺,厦门大学,365.4,2018-01至2022-12
2017,重大项目,A01,7,51790503,E03,苛刻动态条件下橡胶复合材料的微观结构演变与非线性粘弹机制,郑强,浙江大学,400.0,2018-01至2022-12
2017,重大项目,A01,8,11790313,A040206,新型拓扑超导体和马约拉纳准粒子的实验研究,郑浩,上海交通大学,560.0,2018-01至2022-12
2017,重大项目,A01,9,71790603,G0206,会计、审计对企业经营管理与宏观经济发展的影响研究,郑国坚,中山大学,295.0,2018-01至2022-12
2017,重大项目,A01,10,21790364,B050205,新型芳香杂稠环体系的聚集体激发态调控和激光性能研究,赵永生,中国科学院化学研究所,400.0,2018-01至2022-12
2017,重大项目,A01,11,31790414,C170102,地方猪种成肌与肌內沉脂重要遗传参数评估与应用,赵书红,华中农业大学,397.0,2018-01至2022-12
2017,重大项目,A01,12,51790513,E0602,基于对转激波增压的航空轴流压气机气动布局机理研究,赵庆军,中国科学院工程热物理研究所,400.0,2018-01至2022-12
2017,重大项目,A01,13,11790273,A010704,动力系统的拓扑性质和遍历性,章梅荣,清华大学,375.0,2018-01至2022-12
2017,重大项目,A01,14,71790604,G0205,互联网时代的公司财务行为研究,张新民,对外经济贸易大学,290.0,2018-01至2022-12
2017,重大项目,A01,15,71790605,G0306,中国资本市场的行为特征研究,张晓燕,清华大学,305.0,2018-01至2022-12
2017,重大项目,A01,16,71790594,G0117,互联网背景下金融市场微观参与者行为规律及其风险效应研究,张维,天津大学,455.0,2018-01至2022-12
2017,重大项目,A01,17,71790590,G0117,互联网背景下金融创新与风险管理若干基础理论与方法,张维,天津大学,1451.0,2018-01至2022-12
2017,重大项目,A01,18,41790472,D0507,北极海-冰-气系统对冬季欧亚大陆极端气候事件的影响,张人禾,复旦大学,364.0,2018-01至2022-12
2017,重大项目,A01,19,41790470,D0507,北极海-冰-气系统对冬季欧亚大陆极端天气、气候事件的影响及机理,张人禾,复旦大学,1649.4,2018-01至2022-12
2017,重大项目,A01,20,61790575,F0302,高速铁路运行控制与动态调度一体化测试平台与实验验证,张琦,中国铁道科学研究院,306.0,2018-01至2022-12
2017,重大项目,A01,21,51790501,E03,大飞机子午线轮胎多材多层界面调控及加工制造方法,张立群,北京化工大学,436.4,2018-01至2022-12
2017,重大项目,A01,22,51790500,E03,大飞机子午线轮胎先进复合材料及结构的设计与制造基础研究,张立群,北京化工大学,1561.4,2018-01至2022-12
2017,重大项目,A01,23,11790304,A030405,太阳低层大气活动过程研究,张军,中国科学院国家天文台,354.3,2018-01至2022-12
2017,重大项目,A01,24,21790052,B01,高品质石墨炔的控制制备及其基本物性研究,张锦,北京大学,573.0,2018-01至2022-12
2017,重大项目,A01,25,31790403,C050401,多细胞生物自噬溶酶体形成及再生的调控机制,张宏,中国科学院生物物理研究所,441.0,2018-01至2022-12
2017,重大项目,A01,26,51790484,E01,基于薄带连铸的熔体性质及组织性能一体化调控,张海峰,中国科学院金属研究所,299.8,2018-01至2022-12
2017,重大项目,A01,27,11790311,A040206,新型准二维超导体的构筑与表征,张定,清华大学,562.0,2018-01至2022-12
