year,grant,sub,num,id,subject,title,author,school,money,duration
2004,重大研究计划,A01,1,90401001,F0509,Si1-xGex/Si非对称多量子阱及超晶格电光效应人工增强改性及其应用,左玉华,中国科学院半导体研究所,24.0,2005-01至2007-12
2004,重大研究计划,A01,2,90401028,E030901,光电器件中的能量及载流子调控基本问题研究,邹德春,北京大学,100.0,2005-01至2007-12
2004,重大研究计划,A01,3,90410005,E060706,微型直接甲醇燃料电池的双重弥散毛细多孔介质热质传输模型及特性,朱恂,重庆大学,30.0,2005-01至2007-12
2004,重大研究计划,A01,4,90405013,F030114,智能柔性结构振动形态感知与自适应控制研究,朱晓锦,上海大学,32.0,2005-01至2007-12
2004,重大研究计划,A01,5,90401022,E0209,原位电镜观察电子束辐照下低维纳米结构稳定性和焊接技术研究,朱贤方,厦门大学,24.0,2005-01至2007-12
2004,重大研究计划,A01,6,90403004,A050204,探索超出标准模型的新物理,朱守华,北京大学,25.0,2005-01至2007-12
2004,重大研究计划,A01,7,90411000,D0601,全球变化及其区域响应重大计划管理和集成研究,朱江,中国科学院大气物理研究所,200.0,2004-01至2007-12
2004,重大研究计划,A01,8,90411015,D0712,长江三峡地区全新世典型遗址与自然沉积剖面的环境考古研究,朱诚,南京大学,120.0,2005-01至2008-12
2004,重大研究计划,A01,9,90410004,E0403,钻柱结构与井壁岩石互作用下系统耦合非线性振动预估与控制,朱才朝,重庆大学,30.0,2005-01至2007-12
2004,重大研究计划,A01,10,90403027,E020301,高温陶瓷基复合材料界面弱结合相的第一原理设计及性能预测,周延春,中国科学院金属研究所,25.0,2005-01至2007-12
2004,重大研究计划,A01,11,90408011,C0604,人类生殖系统转录组选择性剪接规律及其功能分析,周荣家,武汉大学,30.0,2005-01至2007-12
2004,重大研究计划,A01,12,90411017,D0711,中国北方中纬度地区深海氧同位素第3期的环境演化特征,周力平,北京大学,130.0,2005-01至2008-12
2004,重大研究计划,A01,13,90408004,C090203,中脑多巴胺能神经元分化的信息基础和系统调控,周嘉伟,中国科学院上海生命科学研究院,40.0,2005-01至2007-12
2004,重大研究计划,A01,14,90407016,F020302,高性能SOC异步互连技术研究,周端,西安电子科技大学,31.0,2005-01至2007-12
2004,重大研究计划,A01,15,90405003,A020415,空天飞行器推进系统的并行燃烧模拟,郑耀,浙江大学,33.0,2005-01至2007-12
