year,grant,sub,num,id,subject,title,author,school,money,duration
2003,重点项目,A01,1,30330360,C07,植物细胞凋亡和细胞程序化死亡的分子机理,左建儒,中国科学院遗传与发育生物学研究所,130,2004-01至2007-12
2003,重点项目,A01,2,50334030,E042203,高温高压Raman谱创新技术及高温高压下物质微结构与性质,邹广田,吉林大学,125,2004-01至2008-12
2003,重点项目,A01,3,40331009,D0711,华南沿海晚新生代多旋回火山岩－红土系列的环境事件记录及特征时段气候环境效应,朱照宇,中国科学院广州地球化学研究所,110,2004-01至2007-12
2003,重点项目,A01,4,30330330,C0702,与细胞运动性相关的Nudel\Lis1\dynein通路的组分、功能及调节,朱学良,中国科学院上海生命科学研究院,145,2004-01至2007-12
2003,重点项目,A01,5,40331005,D0301,过渡族元素同位素分异理论体系及其在全球环境变化研究中的应用,朱祥坤,中国地质科学院地质研究所,100,2004-01至2007-12
2003,重点项目,A01,6,10332030,A020204,非线性随机动力学与控制的哈密顿理论体系及其应用,朱位秋,浙江大学,160,2004-01至2007-12
2003,重点项目,A01,7,40332017,D0201,硬骨鱼类、四足动物起源与古动物地理研究,朱敏,中国科学院古脊椎动物与古人类研究所,140,2004-01至2007-12
2003,重点项目,A01,8,30330430,C170102,蛋鸡与肉鸡骨骼肌生长发育差异的分子遗传学基础,朱大海,中国医学科学院,130,2004-01至2007-12
2003,重点项目,A01,9,30330210,C050404,神经元离子通道－动作电位与量子化分泌的关系研究,周专,北京大学,145,2004-01至2007-12
2003,重点项目,A01,10,40335051,D010203,中国的城市变化及其自组织的空间动力学,周一星,北京大学,90,2004-01至2007-12
2003,重点项目,A01,11,40334043,D0303,中生代全球事件在东北岩石圈的地质地球化学响应研究,周新华,中国科学院地质与地球物理研究所,130,2004-01至2007-12
2003,重点项目,A01,12,20336020,B080402,新型气体吸附材料和吸附过程基础研究,周理,天津大学,160,2004-01至2007-12
2003,重点项目,A01,13,30330340,C06,泛酸激酶多态性的功能研究,周兵,清华大学,110,2004-01至2007-12
2003,重点项目,A01,14,40331011,D0712,东亚大陆孢粉散布空间格局及末次冰期以来典型植被带对气候变化的响应,郑卓,中山大学,120,2004-01至2007-12
2003,重点项目,A01,15,40334036,D0301,扬子板块北缘新元古代岩浆活动与热液蚀变,郑永飞,中国科学技术大学,140,2004-01至2007-12
2003,重点项目,A01,16,40331014,D0510,土壤-农作物体系N2O排放系数的观测与模式研究,郑循华,中国科学院大气物理研究所,150,2004-01至2007-12
2003,重点项目,A01,17,10332020,A020308,纳米材料和器件的力学建模、原型和实验研究,郑泉水,清华大学,180,2004-01至2007-12
2003,重点项目,A01,18,40332023,D0709,持久性有机污染物的毒理、暴露水平及区域风险研究,郑明辉,中国科学院生态环境研究中心,140,2004-01至2007-12
