year,grant,sub,num,id,subject,title,author,school,money,dueration
2004,重点项目,A01,1,10434050,A040308,高温稠密和高温稀薄等离子体中原子结构和原子过程的高精度研究和比对研究,邹亚明,复旦大学,120,2005-01至2009-12
2004,重点项目,A01,2,10435080,A050306,基于兰州冷却储存环上强子物理的理论研究,邹冰松,中国科学院高能物理研究所,120,2005-01至2008-12
2004,重点项目,A01,3,40437017,D0601,适应海洋观测资料同化的降维方法及在短期气候预测中的应用研究,朱江,中国科学院大气物理研究所,110,2005-01至2008-12
2004,重点项目,A01,4,70432001,G02,供应链协调理论、应用技术和运作策略研究,朱道立,复旦大学,90,2005-01至2008-12
2004,重点项目,A01,5,30430800,H2715,中药防治龋病的物质基础和药理机制研究,周学东,四川大学,130,2005-01至2008-12
2004,重点项目,A01,6,30430300,H1615,nm23基因逆转肺癌转移的分子机理和信号传导调节,周清华,天津医科大学,130,2005-01至2008-12
2004,重点项目,A01,7,50432050,E021101,高温超导氧化物定向凝固及单晶生长机理的基础理论研究,周廉,西北有色金属研究院,200,2005-01至2008-12
2004,重点项目,A01,8,50439010,E0910,海底管线的损伤机理和健康诊断研究,周晶,大连理工大学,150,2005-01至2008-12
2004,重点项目,A01,9,60432020,F010205,光控微波波束形成网络研究,周炳琨,清华大学,190,2005-01至2008-12
2004,重点项目,A01,10,10432030,A020305,功能梯度材料与结构的关键力学问题研究,仲政,同济大学,180,2005-01至2008-12
2004,重点项目,A01,11,40434012,D0408,渤海湾盆地及邻区伸展构造体系壳幔作用的深部证据,郑天愉,中国科学院地质与地球物理研究所,140,2005-01至2008-12
2004,重点项目,A01,12,30430730,H1608,消化系统恶性肿瘤蛋白质指纹图谱诊断模型的建立及蛋白质肿瘤标志物的筛选与鉴定,郑树,浙江大学,130,2005-01至2008-12
2004,重点项目,A01,13,30430420,C180103,家猪应对运输应激的个性特征及其生理和遗传机制研究,赵茹茜,南京农业大学,140,2005-01至2008-12
2004,重点项目,A01,14,10433010,A0303,银河系的结构与演化,赵刚,中国科学院国家天文台,150,2005-01至2008-12
2004,重点项目,A01,15,30430580,C160901,松材线虫与其携带的细菌共生致病机理,赵博光,南京林业大学,145,2005-01至2008-12
2004,重点项目,A01,16,30430770,H3008,血管内注射药用高分子材料PELGE及其肝靶向纳米粒研究,张志荣,四川大学,125,2005-01至2008-12
2004,重点项目,A01,17,30430130,C030202,森林鼠类种子贮藏行为生态及策略的研究,张知彬,中国科学院动物研究所,140,2005-01至2008-12
2004,重点项目,A01,18,20435020,B04,蛋白质检测及其相互作用的分析技术研究,张玉奎,中国科学院大连化学物理研究所,200,2005-01至2008-12
2004,重点项目,A01,19,30430250,C0903,脆性X智力发育滞迟的遗传分子机制,张永清,中国科学院遗传与发育生物学研究所,130,2005-01至2008-12
2004,重点项目,A01,20,50436040,E0608,室内有机化学和微生物污染去除新方法关键机理问题研究,张寅平,清华大学,150,2005-01至2008-12
2004,重点项目,A01,21,30430110,C040204,动物适应进化的遗传机制,张亚平,中国科学院昆明动物研究所,145,2005-01至2008-12
2004,重点项目,A01,22,40435014,D010502,天山北坡山盆系统生态重建与可持续发展模式研究,张新时,北京师范大学,150,2005-01至2008-12
2004,重点项目,A01,23,30430750,H3007,抗真菌药物作用的分子机理和创新设计研究,张万年,中国人民解放军第二军医大学,130,2005-01至2008-12
2004,重点项目,A01,24,10434080,A040408,非经典光场与原子相互作用的量子行为,张天才,山西大学,160,2005-01至2008-12
2004,重点项目,A01,25,20436050,B0801,清洁化工过程的基础研究,张锁江,中国科学院过程工程研究所,160,2005-01至2008-12
2004,重点项目,A01,26,60438010,F050607,激光正交偏振回馈效应及纳米回馈干涉技术研究,张书练,清华大学,200,2005-01至2008-12
2004,重点项目,A01,27,30430500,C170102,仔猪E.Coli腹泻抗性的分子遗传机理研究,张勤,中国农业大学,135,2005-01至2008-12
2004,重点项目,A01,28,30430760,H3008,载体给药系统的分子药剂学研究,张强,北京大学,105,2005-01至2008-12
2004,重点项目,A01,29,60432040,F010202,超宽带高速无线接入理论与关键技术,张乃通,哈尔滨工业大学,200,2005-01至2008-12
2004,重点项目,A01,30,40432003,D0201,东亚晚中生代以来淡水鱼类主要类群的演化格局与地质背景,张弥曼,中国科学院古脊椎动物与古人类研究所,150,2005-01至2009-12
2004,重点项目,A01,31,30430160,C030102,克隆植物资源分配、生长构型与交配系统相互关系的研究,张大勇,北京师范大学,130,2005-01至2008-12
2004,重点项目,A01,32,30430570,C160702,海南岛热带天然林主要功能群保护与恢复的生态学基础,臧润国,中国林业科学研究院,140,2005-01至2008-12
2004,重点项目,A01,33,30430650,H1008,自身免疫病免疫调节机理研究,臧敬五,上海交通大学,145,2005-01至2008-12
2004,重点项目,A01,34,30430200,C050201,神经系统肿瘤细胞诱导分化相关蛋白质的功能性相互作用网络研究,袁建刚,中国医学科学院,140,2005-01至2008-12
2004,重点项目,A01,35,20435010,B0404,纳米生物传感技术的分析化学基础研究,俞汝勤,湖南大学,160,2005-01至2008-12
2004,重点项目,A01,36,20432020,B0103,四个抗肿瘤活性复杂天然大环化合物的全合成研究,俞飚,中国科学院上海有机化学研究所,160,2005-01至2008-12
2004,重点项目,A01,37,60434030,F0302,面向传感器网络的分布自治系统关键技术及协调控制理论,于海斌,中国科学院沈阳自动化研究所,190,2005-01至2008-12
2004,重点项目,A01,38,20432030,B070102,高效快速新颖结构天然产物的发现及其生物活性研究,于德泉,中国医学科学院,200,2005-01至2008-12
2004,重点项目,A01,39,30430070,C020203,中国水生植物区系组成与地理分布格局,于丹,武汉大学,150,2005-01至2008-12
2004,重点项目,A01,40,10434060,A040408,冷分子光学的探索,印建平,华东师范大学,160,2005-01至2008-12
2004,重点项目,A01,41,30430720,H1608,肝细胞癌分子分型和转移预测模型的研究,叶青海,复旦大学,135,2005-01至2008-12
2004,重点项目,A01,42,30430350,C120110,骨骼发育及其相关疾病的分子机理研究,杨晓,中国人民解放军军事科学院军事医学研究院,140,2005-01至2008-12
2004,重点项目,A01,43,50433040,E031403,通用高分子材料表面改性及其形态控制-聚合物表面的光接枝工程,杨万泰,北京化工大学,100,2005-01至2008-12
2004,重点项目,A01,44,30430620,H1901,鼠疫疫苗的相关基础研究,杨瑞馥,中国人民解放军军事科学院军事医学研究院,135,2005-01至2008-12
2004,重点项目,A01,45,70433002,G0413,我国区域城镇化管理的系统研究,杨开忠,北京大学,90,2005-01至2008-12
2004,重点项目,A01,46,50434050,E0404,深部盐岩层地下石油储备中的基础性研究,杨春和,中国科学院武汉岩土力学研究所,140,2005-01至2008-12
2004,重点项目,A01,47,30430780,H2809,基于最佳靶点假说的抗心律失常中药研究,杨宝峰,哈尔滨医科大学,150,2005-01至2008-12
2004,重点项目,A01,48,50432020,E0213,西部特殊环境下材料损伤与防护研究,薛群基,中国科学院兰州化学物理研究所,140,2005-01至2007-12
2004,重点项目,A01,49,60434020,F030118,多源信息融合的基础理论和方法,薛安克,杭州电子科技大学,170,2005-01至2008-12
2004,重点项目,A01,50,50436020,E060305,功能流体流动和传热特性及其控制方法研究,宣益民,南京理工大学,150,2005-01至2008-12
2004,重点项目,A01,51,50436030,E0603,临床肿瘤冷热疗过程中的热物理问题研究,徐学敏,上海交通大学,200,2005-01至2008-12
