year,grant,sub,num,id,subject,title,author,school,money,dueration
2012,专项基金项目,A01,1,11226195,A010902,非线性演化方程的对称约化和不变子空间,左苏丽,西北大学,3.0,2013-01至2013-12
2012,专项基金项目,A01,2,11226127,A010603,Musielak-Orlicz空间中几类点态性质的研究,左明霞,哈尔滨理工大学,3.0,2013-01至2013-12
2012,专项基金项目,A01,3,21241406,B01,无机化学青年学者研讨会,左景林,南京大学,4.0,2012-11至2012-12
2012,专项基金项目,A01,4,51241005,E010802,材料断裂表面微观三维形貌扫描白光干涉表征关键问题研究,邹文栋,南昌航空大学,15.0,2013-01至2013-12
2012,专项基金项目,A01,5,41240002,D0702,基于概念格方法的黑河流域生态水文响应单元研究,邹松兵,中国科学院寒区旱区环境与工程研究所,20.0,2013-01至2013-12
2012,专项基金项目,A01,6,11226292,A011602,图的点不相交子图,邹青松,西安电子科技大学,3.0,2013-01至2013-12
2012,专项基金项目,A01,7,11226311,A011701,非线性移动界面问题的自适应数值方法研究,祝汉灿,绍兴文理学院,3.0,2013-01至2013-12
2012,专项基金项目,A01,8,81241010,H0306,产肠毒素脆弱杆菌及高脂饮食对小鼠肠粘膜屏障损伤及相关代谢紊乱等的影响,朱元民,北京大学,10.0,2013-01至2013-12
2012,专项基金项目,A01,9,21227010,B020204,电子束激发超衍射限制高分辨光学显微镜关键技术,朱永法,清华大学,290.0,2013-01至2016-12
2012,专项基金项目,A01,10,31240072,C07,细胞生物学学科同行评议专家选择辅助系统及专家库系统建设,朱学良,中国科学院上海生命科学研究院,10.0,2013-01至2013-12
2012,专项基金项目,A01,11,21224001,B01,SCIENCE CHINA Chemistry,朱晓文,《中国科学》杂志社有限责任公司,24.0,2013-01至2014-12
2012,专项基金项目,A01,12,21246011,B081005,电沉积法低温制备纳米结构固体氧化物燃料电池高性能薄膜及电沉积机理研究,朱晓东,哈尔滨工业大学,10.0,2013-01至2013-12
2012,专项基金项目,A01,13,41240019,D0207,湘中拗陷天然气成藏模式与深盆气探索,朱伟,湖南科技大学,20.0,2013-01至2013-12
2012,专项基金项目,A01,14,81241030,H0713,IAPP对钙调控胰岛素分泌的影响及其在β细胞功能减退中的作用研究,朱铁虹,天津医科大学,10.0,2013-01至2013-12
2012,专项基金项目,A01,15,11226162,A0108,四阶非线性Schr？dinger方程解的爆破图景,朱世辉,四川师范大学,3.0,2013-01至2013-12
2012,专项基金项目,A01,16,81241011,H0317,纤维连接蛋白EDA片段调控肝纤维化血管再生的作用研究,朱强,山东大学,10.0,2013-01至2013-12
2012,专项基金项目,A01,17,51220005,E03,纤维新材料与百姓生活,朱美芳,东华大学,20.0,2013-01至2013-12
2012,专项基金项目,A01,18,11247020,A05,部分填充方钴矿化合物的磁性机理研究,朱丽娅,三峡大学,20.0,2013-01至2015-12
2012,专项基金项目,A01,19,81241073,H0818,布鲁顿酪氨酸激酶(Btk)抑制剂对B细胞非霍奇金淋巴瘤的作用及机制,朱军,北京市肿瘤防治研究所,10.0,2013-01至2013-12
2012,专项基金项目,A01,20,11226138,A010702,切换递归神经网络的稳定性分析和设计问题研究,朱进,渤海大学,3.0,2013-01至2013-12
2012,专项基金项目,A01,21,11226020,A01,非线性分析国际会议暨第17届全国非线性泛函分析会议,朱江,江苏师范大学,6.0,2012-06至2013-04
2012,专项基金项目,A01,22,51224004,E0804,Frontiers of Environmental Science & Engineering,朱建军,高等教育出版社有限公司,20.0,2013-01至2014-12
2012,专项基金项目,A01,23,81242001,H26,我国预防医学学科基础研究队伍和基础研究现状分析,朱慧娟,南京医科大学,12.0,2012-01至2012-12
2012,专项基金项目,A01,24,81241071,H1615,NF-κB反向调控IκB逆转肺癌恶性表型及机制研究,朱光发,首都医科大学,10.0,2013-01至2013-12
2012,专项基金项目,A01,25,31240008,C050203,糖基化对烟曲霉壳聚糖酶性质影响的结构生物学研究,周玉玲,湖北大学,15.0,2013-01至2013-12
2012,专项基金项目,A01,26,21246001,B0811,污水微藻处理光生物反应器开发及动力学研究,周雪飞,同济大学,10.0,2013-01至2013-12
2012,专项基金项目,A01,27,11226140,A010702,随机时滞非线性微分系统的均方BIBO稳定,周霞,阜阳师范学院,3.0,2013-01至2013-12
2012,专项基金项目,A01,28,11247224,A05,低价非磁性金属掺杂SnO2磁、光性能的密度泛函理论研究,周伟,天津大学,5.0,2013-01至2013-12
