year,grant,sub,num,id,subject,title,author,school,money,duration
2015,专项基金项目,A01,1,11526087,A010505,基于图的半监督学习算法研究,左玲,湖北工业大学,3.0,2016-01至2016-12
2015,专项基金项目,A01,2,11526001,A01,资助《数学进展》期刊,宗传明,北京大学,8.0,2016-01至2016-12
2015,专项基金项目,A01,3,11526135,A011201,最优低秩相关系数矩阵问题的回拉型可行方法,竺筱晶,上海电力学院,3.0,2016-01至2016-12
2015,专项基金项目,A01,4,L1522008,Z01,科学基金支持智库建设的机制研究,朱旭峰,清华大学,15.0,2015-06至2015-12
2015,专项基金项目,A01,5,11526202,A011602,超大规模集成电路物理设计自动化中的图论和优化算法,朱文兴,福州大学,18.0,2016-01至2016-12
2015,专项基金项目,A01,6,11526165,A011201,约束向量优化问题若干对偶的一致性及其应用研究,朱胜坤,西南财经大学,3.0,2016-01至2016-12
2015,专项基金项目,A01,7,11526193,A0110,带跳随机时滞微分方程解的高效快速算法设计及其在美式未定权益定价中的应用,周艳丽,中南财经政法大学,3.0,2016-01至2016-12
2015,专项基金项目,A01,8,11526143,A0111,基于Medip-seq和MRE-seq数据的甲基化水平的估计及差异性检验,周彦,深圳大学,3.0,2016-01至2016-12
2015,专项基金项目,A01,9,11526118,A011703,基于自适应稀疏算子的图像乘性噪声移除方法研究,周伟峰,青岛科技大学,2.5,2016-01至2016-12
2015,专项基金项目,A01,10,11526186,A011201,线性互补约束二次规划问题的一个全局算法研究,周晶,浙江工业大学,3.0,2016-01至2016-12
2015,专项基金项目,A01,11,11526171,A011504,基于格值逻辑的语言真值α-群锁语义归结自动推理研究,钟小梅,西南交通大学,2.6,2016-01至2016-12
2015,专项基金项目,A01,12,11526194,A011703,椭圆偏微分方程参数识别问题的理论和数值研究,郑璇,中南林业科技大学,3.0,2016-01至2016-12
2015,专项基金项目,A01,13,11526042,A010802,几类Keller-Segel趋化模型解的有界性与渐近行为研究,郑攀,重庆邮电大学,3.0,2016-01至2016-12
2015,专项基金项目,A01,14,11526043,A011703,可穿透非均匀介质正反散射问题的非多项式有限元算法研究,郑恩希,大连海事大学,2.5,2016-01至2016-12
2015,专项基金项目,A01,15,11526062,A010804,两类浅水波方程解的性质研究,赵永叶,广州航海学院,2.5,2016-01至2016-12
2015,专项基金项目,A01,16,L1522006,Z01,国家自然科学基金管理的立法梳理与制度需求,赵颖,北京工商大学,15.0,2015-05至2017-02
2015,专项基金项目,A01,17,11526137,A010902,超椭圆曲线理论在2+1维孤立子方程拟周期解研究中的应用,赵鹏,上海海事大学,3.0,2016-01至2016-12
