code,name
A01,数学
A0101,数论
A010101,解析数论
A010102,代数数论
A010103,数论应用
A0102,代数学
A010201,群及其表示
A010202,李群与李代数
A010203,代数群与M子群
A010204,同调与K理论
A010205,环与代数
A010206,编码与密码
A010207,代数几何
A0103,几何学
A010301,整体微分儿何
A010302,复几何与代数几何
A010303,几何分析
A0104,拓扑学
A010401,代数拓扑与微分拓扑
A010402,低维流形上的拓扑
A010403,—般拓扑学
A0105,函数论
A010501,多复变函数论
A010502,复动力系统
A010503,单复变函数论
A010504,调和分析与小波分析
A010505,闲数逼近论
A0106,泛函分析
A010601,非线性泛阐分析
A010602,箅+理论与箅+代数
A010603,空间理论
A0107,常微分方程与动力系统
A010701,泛函微分方程
A010702,定性理论与稳定性理论
A010703,分支理论与混沌
A010704,微分动力系统与哈密顿系统
A010705,拓扑动力系统与遍历论
A0108,偏微分方程
A010801,儿何、物理和力学中的偏微分方程
A010802,非线性捕圆和非线性抛物方程
A010803,混合型、返化型偏微分方程
A010804,非线性发展方程和无穷维动力系统
A0109,数学物理
A010901,规范场论与超弦理论
A010902,可积系统及其应用
A0110,槪率论与随机分析
A011001,马氏过程与遍历论
A011002,随机分析与随机过程
A011003,随机微分方程
A011004,极限理论
A0111,数理统计
A011101,袖样调查与试验设计
A011102,时间序列与多元分析
A011103,数据分析与统计计算
A0112,运筹学
A011201,线性与非线性规划
A011202,组合最优化
A011203,随机最优化
A011204,可器性理论
A0113,控制论中的数学方法
A011301,分布参数系统的控制理论
A011302,随机系统的控制理论
A0114,应用数学方法
A011401,信息论
A011402,经济数学与金融数学
A011403,生物数学
A011404,不确定性的数学理论
A011405,分形论及应用
A0115,数理逻辑和与计算机相关的数学
A011501,数理逻辑
A011502,公理集合论
A011503,计算复杂性与符号计箅
A011504,机器证明
A0116,组合数学
A011601,组合设计
A011602,图论
A011603,代数组合与组合矩阵论
A0117,计算数学与科学工程计算
A011701,偏微分方程数值计箅
A011702,流体力学中的数值计算
A011703,—般反问题的计算方法
A011704,常微分方程数值计算
A011705,数植代数
A011706,数逍逼近与计算几何
A011707,谱方法及高精度数值方法
A011708,有限元和边界元方法
A011709,多重网格技术及区域分解
A011710,自适应方法
A011711,并行算法
A02,力学
